T(GeV)	Gamma_bbar(GeV)	E_b(GeV)
0.195	0.35	0.0637101602158694
0.214	0.426	0
0.251	0.606	0
0.293	0.91	0
0.33	1.683	0
0.352	1.769	0
0.5	2.155	0
0.7	2.412	0
