T(GeV)	Gamma_bbar(GeV)	E_b(GeV)
0.195	0.13	0.36771016021586966
0.251	0.242	0.18539641912741622
0.293	0.41	0.10639283392199594
0.352	0.59	0.004331288372805275
0.5	1.052	0
0.7	2.412	0
