E_R(GeV)	Re[detF]	Im[detF]
10.1	0.005087136515399037	0.15455888046768274
10.11	-0.014157875555905301	0.15127571773075235
10.12	-0.03209353086066902	0.1447989531067162
10.13	-0.04805316437087649	0.13547368409207083
10.14	-0.06153050367280701	0.1238884602111032
10.15	-0.0723382802310435	0.11047044442106513
10.16	-0.08004487584694978	0.09580086799512924
10.17	-0.08459936854945	0.0806155823433319
10.18	-0.08611895050448651	0.06546276063215108
10.19	-0.08463306015806835	0.05088879757722673
10.2	-0.08045741794229676	0.03745098121638558
10.21	-0.07393586646214405	0.02558217906040351
10.22	-0.06551624785502959	0.015594424033988736
10.23	-0.05559372770888267	0.0077563012631482
10.24	-0.04472863371324556	0.0021176174393390196
10.25	-0.03322371390405237	-0.0013723687773543683
10.26	-0.021559753150294667	-0.0026595095725865697
10.27	-0.009965176915396314	-0.0018933080585522683
10.28	0.0010992324250197773	0.0007837423366715702
10.29	0.011477906111678215	0.005087210476458622
10.3	0.02098010548845197	0.01087118740581757
10.31	0.029450208130195527	0.01787444296162212
10.32	0.036791109746545106	0.025780607577921943
10.33	0.04300414886846122	0.03450545309223586
10.34	0.0480502657449562	0.04381880917029377
10.35	0.05198865867790758	0.05343695929487759
10.36	0.05486118960401852	0.06326862565790886
10.37	0.05677773901850481	0.07313792676188864
10.38	0.05779060308441624	0.08297384476289926
10.39	0.057989317295851585	0.09268686902658638
10.4	0.05743612827679251	0.1021656759617014
10.41	0.05628570608154818	0.11136728044602026
10.42	0.05459894871717608	0.12031747044849385
10.43	0.052409140955847144	0.12901955578404165
10.44	0.04987998978038741	0.13733543698644646
10.45	0.046945266160105144	0.1454269578024741
10.46	0.04374712407752564	0.15324813805399762
10.47	0.04034257105073942	0.16085020237123096
10.48	0.036749274922556814	0.16821026390391114
10.49	0.033061423051926074	0.17531842708430795
10.5	0.029075240056432593	0.1823660449460855
