E_R(GeV)	E_I(GeV)	|T|^2(GeV^-4)
9.	-0.5	3.9452368825652657
9.01	-0.5	3.931431592953259
9.02	-0.5	3.918280752043726
9.03	-0.5	3.903132257563176
9.04	-0.5	3.8914405668298264
9.05	-0.5	3.879010825263047
9.06	-0.5	3.868738964574869
9.07	-0.5	3.858304326861828
9.08	-0.5	3.8483560818799845
9.09	-0.5	3.837658241523783
9.1	-0.5	3.8286618102991037
9.11	-0.5	3.82295287798893
9.12	-0.5	3.815299364219894
9.13	-0.5	3.7997333452432867
9.14	-0.5	3.800654335535988
9.15	-0.5	3.7967659285217836
9.16	-0.5	3.793326859962482
9.17	-0.5	3.7922594152057605
9.18	-0.5	3.784610669874481
9.19	-0.5	3.779219894709206
9.2	-0.5	3.779867076379027
9.21	-0.5	3.776864468097036
9.22	-0.5	3.7766824585440975
9.23	-0.5	3.7734767027129754
9.24	-0.5	3.774701490539166
9.25	-0.5	3.774731910487633
9.26	-0.5	3.771173838434507
9.27	-0.5	3.7725314920672277
9.28	-0.5	3.7729724588709495
9.29	-0.5	3.7731587327926954
9.3	-0.5	3.7727538622281287
9.31	-0.5	3.7713845114450044
9.32	-0.5	3.773421673095034
9.33	-0.5	3.773413432234465
9.34	-0.5	3.772777144472039
9.35	-0.5	3.770910996351252
9.36	-0.5	3.771470971116388
9.37	-0.5	3.770621856588697
9.38	-0.5	3.7688511170001613
9.39	-0.5	3.7652562068617206
9.4	-0.5	3.764801711807663
9.41	-0.5	3.76259180731057
9.42	-0.5	3.7602660640576877
9.43	-0.5	3.757014129559055
9.44	-0.5	3.753803531161794
9.45	-0.5	3.7496946441401553
9.46	-0.5	3.7440270554387745
9.47	-0.5	3.7420621736237845
9.48	-0.5	3.740408622095469
9.49	-0.5	3.734834185220703
9.5	-0.5	3.729347348678775
9.51	-0.5	3.7248202815197735
9.52	-0.5	3.720807021207908
9.53	-0.5	3.7145490727799726
9.54	-0.5	3.7118900247553657
9.55	-0.5	3.7067014742883826
9.56	-0.5	3.7047504568393936
9.57	-0.5	3.699361640517924
9.58	-0.5	3.6984908633757314
9.59	-0.5	3.69637190859575
9.6	-0.5	3.6948620401339074
9.61	-0.5	3.69203624533123
9.62	-0.5	3.6939290194805525
9.63	-0.5	3.6943536543147886
