E_R(GeV)	E_I(GeV)	|T|^2(GeV^-4)
9.	-0.6	16.044326679024532
9.01	-0.6	16.508279031207522
9.02	-0.6	16.976938282079892
9.03	-0.6	17.418173022926993
9.04	-0.6	17.91531528243179
9.05	-0.6	18.389441800664986
9.06	-0.6	18.86427554499157
9.07	-0.6	19.336699723574583
9.08	-0.6	19.81707437192177
9.09	-0.6	20.2888861616416
9.1	-0.6	20.756565675686588
9.11	-0.6	21.225799203021843
9.12	-0.6	21.691672285704904
9.13	-0.6	22.15309623939052
9.14	-0.6	22.6113036706511
9.15	-0.6	23.06144317595531
9.16	-0.6	23.50482836234758
9.17	-0.6	23.956162039216423
9.18	-0.6	24.37762976311849
9.19	-0.6	24.797919406709546
9.2	-0.6	25.210641785988845
9.21	-0.6	25.61563152215887
9.22	-0.6	26.007657660470965
9.23	-0.6	26.387537583608655
9.24	-0.6	26.756532642356113
9.25	-0.6	27.111883231473964
9.26	-0.6	27.452236863549214
9.27	-0.6	27.781516490692848
9.28	-0.6	28.094069521261154
9.29	-0.6	28.389559188084814
9.3	-0.6	28.668186701709992
9.31	-0.6	28.934213624234495
9.32	-0.6	29.18014680303357
9.33	-0.6	29.408356581506204
9.34	-0.6	29.617731661079304
9.35	-0.6	29.812510738119688
9.36	-0.6	29.98485884676452
9.37	-0.6	30.136468854509566
9.38	-0.6	30.268477221612557
9.39	-0.6	30.380778927576262
9.4	-0.6	30.472335752732924
9.41	-0.6	30.5457066311888
9.42	-0.6	30.59851147330851
9.43	-0.6	30.62810383882809
9.44	-0.6	30.639981495216656
9.45	-0.6	30.630159100261576
9.46	-0.6	30.600940451995317
9.47	-0.6	30.55137399710662
9.48	-0.6	30.47812554976545
9.49	-0.6	30.388501566339414
9.5	-0.6	30.27826589336055
9.51	-0.6	30.146937443656697
9.52	-0.6	29.9981260498517
9.53	-0.6	29.83406581078844
9.54	-0.6	29.64590019890362
9.55	-0.6	29.4408324149844
9.56	-0.6	29.21534560546266
9.57	-0.6	28.974952784821255
9.58	-0.6	28.715320004310154
9.59	-0.6	28.43638202797217
9.6	-0.6	28.140872572881488
9.61	-0.6	27.831142593640028
9.62	-0.6	27.503593291275404
9.63	-0.6	27.161625339857082
9.64	-0.6	26.798471367807277
9.65	-0.6	26.42006755848322
9.66	-0.6	26.026853087616807
