E_R(GeV)	E_I(GeV)	|T|^2(GeV^-4)
9.	-0.5	0.7323327007724152
9.01	-0.5	0.738738510433838
9.02	-0.5	0.7449003899436467
9.03	-0.5	0.7507310945344863
9.04	-0.5	0.7561904338533432
9.05	-0.5	0.7612750622480893
9.06	-0.5	0.7659788938796321
9.07	-0.5	0.7702506619276739
9.08	-0.5	0.7741405049622558
9.09	-0.5	0.7776516513599901
9.1	-0.5	0.7802291000064301
9.11	-0.5	0.7826583143974437
9.12	-0.5	0.784288019242003
9.13	-0.5	0.7850888277039925
9.14	-0.5	0.7857474946800406
9.15	-0.5	0.7853133586961774
9.16	-0.5	0.784641098055243
9.17	-0.5	0.783076708958846
9.18	-0.5	0.7805411413244463
9.19	-0.5	0.7777779351800631
9.2	-0.5	0.7741650847925942
9.21	-0.5	0.7696676762050232
9.22	-0.5	0.7648211884392621
9.23	-0.5	0.7591230235461666
9.24	-0.5	0.7527149594925975
9.25	-0.5	0.7458999189518019
9.26	-0.5	0.7383595350425912
9.27	-0.5	0.7302764880030468
9.28	-0.5	0.7214850088570166
9.29	-0.5	0.712600157213395
9.3	-0.5	0.7034688228992154
9.31	-0.5	0.6938857848218469
9.32	-0.5	0.6840810692878634
9.33	-0.5	0.6741392863645509
9.34	-0.5	0.6641457574835754
9.35	-0.5	0.6542675742669233
9.36	-0.5	0.6445409011610824
9.37	-0.5	0.6350227229137224
9.38	-0.5	0.6258111878294723
9.39	-0.5	0.6172180361012406
9.4	-0.5	0.6089474633975218
9.41	-0.5	0.6015007712337027
9.42	-0.5	0.5947863812484085
9.43	-0.5	0.5886765859675054
9.44	-0.5	0.5833816964576153
9.45	-0.5	0.5789451778105332
9.46	-0.5	0.5754053796715597
9.47	-0.5	0.5726826526597882
9.48	-0.5	0.5711401649503725
9.49	-0.5	0.570223225130394
9.5	-0.5	0.5704311601972674
9.51	-0.5	0.5716643241163692
9.52	-0.5	0.5736914821912829
9.53	-0.5	0.5766646201226449
9.54	-0.5	0.5803978234130623
9.55	-0.5	0.5850382702974165
9.56	-0.5	0.5902540948105925
9.57	-0.5	0.5964755971125169
9.58	-0.5	0.6032751934185399
9.59	-0.5	0.6107192236147445
9.6	-0.5	0.6188138753669916
9.61	-0.5	0.6274659636237571
9.62	-0.5	0.6364932256191231
9.63	-0.5	0.6463204230145472
9.64	-0.5	0.656449508503801
9.65	-0.5	0.6669580835509487
9.66	-0.5	0.6778552233436136
9.67	-0.5	0.6891545040286963
9.68	-0.5	0.7006071668459226
9.69	-0.5	0.712403100438026
9.7	-0.5	0.7245927379696044
9.71	-0.5	0.7368604552460203
9.72	-0.5	0.7495183214716381
9.73	-0.5	0.7621951220846566
9.74	-0.5	0.7753620581175071
9.75	-0.5	0.7883835445153398
9.76	-0.5	0.8013153748838548
9.77	-0.5	0.8148213819315357
9.78	-0.5	0.8281748991846468
9.79	-0.5	0.8416491754321439
9.8	-0.5	0.8548929134685199
9.81	-0.5	0.8686909943330894
9.82	-0.5	0.8822871947819639
9.83	-0.5	0.8957963709668052
9.84	-0.5	0.9093822404892566
9.85	-0.5	0.9229660629754337
9.86	-0.5	0.9365496119755061
9.87	-0.5	0.950050811047616
9.88	-0.5	0.96334641186495
9.89	-0.5	0.9768843693809348
9.9	-0.5	0.9905761100916244
9.91	-0.5	1.0039823533360346
9.92	-0.5	1.0170355076351925
9.93	-0.5	1.0304012539637486
9.94	-0.5	1.0437297237609076
9.95	-0.5	1.0569014714129765
9.96	-0.5	1.070298467737334
9.97	-0.5	1.0833501962544874
9.98	-0.5	1.0963221552206903
9.99	-0.5	1.1092004360486247
10.	-0.5	1.1220377892217976
10.01	-0.5	1.1347491869225967
10.02	-0.5	1.1476054214790503
10.03	-0.5	1.1600317710524022
10.04	-0.5	1.1724212359881458
10.05	-0.5	1.1849357754634402
10.06	-0.5	1.1972936724360659
10.07	-0.5	1.209134898848169
10.08	-0.5	1.221508225528452
10.09	-0.5	1.2335222374724364
10.1	-0.5	1.245280331033384
10.11	-0.5	1.2568450645211167
10.12	-0.5	1.2689007839667283
10.13	-0.5	1.280293431236551
10.14	-0.5	1.2917319211149092
10.15	-0.5	1.3034749728519128
10.16	-0.5	1.314401237002853
10.17	-0.5	1.3256392448203234
10.18	-0.5	1.3366498698141163
10.19	-0.5	1.3476009819154071
10.2	-0.5	1.3589565415511737
10.21	-0.5	1.3697280531551743
10.22	-0.5	1.3802914843217375
10.23	-0.5	1.3908886117213048
10.24	-0.5	1.400852876132237
10.25	-0.5	1.4118276268861611
10.26	-0.5	1.4218974331402428
10.27	-0.5	1.4320584699389285
10.28	-0.5	1.4422394391126412
10.29	-0.5	1.452124956462802
10.3	-0.5	1.4618905665194326
10.31	-0.5	1.471502983729515
10.32	-0.5	1.4810995488329175
10.33	-0.5	1.4905994809669632
10.34	-0.5	1.4993323532819964
10.35	-0.5	1.508696799466292
10.36	-0.5	1.518369944402484
10.37	-0.5	1.5273720249526617
10.38	-0.5	1.5356142920340892
10.39	-0.5	1.544428975662126
10.4	-0.5	1.5538463494805612
10.41	-0.5	1.5617496608002137
10.42	-0.5	1.5709475594741897
10.43	-0.5	1.578848933870501
10.44	-0.5	1.5876530023685933
10.45	-0.5	1.5950514812129064
10.46	-0.5	1.603336441562648
10.47	-0.5	1.6111885694086074
10.48	-0.5	1.61970684504551
10.49	-0.5	1.6274704510177402
10.5	-0.5	1.6353221500444668
10.51	-0.5	1.6422521675550186
10.52	-0.5	1.650152511060635
10.53	-0.5	1.65699298640239
10.54	-0.5	1.6650002702901818
10.55	-0.5	1.6720988864358144
10.56	-0.5	1.6788669555893099
10.57	-0.5	1.6852595472845302
10.58	-0.5	1.6923508905840317
10.59	-0.5	1.6994918276358608
10.6	-0.5	1.7056814667116162
10.61	-0.5	1.7127546827238447
10.62	-0.5	1.7184858027492562
10.63	-0.5	1.7257113194384965
10.64	-0.5	1.7318878026948872
10.65	-0.5	1.7379791844914614
10.66	-0.5	1.7440602130701306
10.67	-0.5	1.7500584941754083
10.68	-0.5	1.7559432954906384
10.69	-0.5	1.7617336384165254
10.7	-0.5	1.767526530214357
10.71	-0.5	1.772799827056454
10.72	-0.5	1.7785877134646513
10.73	-0.5	1.783916156620236
10.74	-0.5	1.7890486000745247
10.75	-0.5	1.7935389293166333
10.76	-0.5	1.7985383457934598
10.77	-0.5	1.803391513714775
10.78	-0.5	1.8083885694654225
10.79	-0.5	1.8135340150876935
10.8	-0.5	1.8180249239890716
10.81	-0.5	1.823457416528239
10.82	-0.5	1.827548667713548
10.83	-0.5	1.8326190314966422
10.84	-0.5	1.8369704766505583
10.85	-0.5	1.8402147610534754
10.86	-0.5	1.8453089641623044
