# P(GeV)	Gamma(GeV)
0.100000	9.566230e-01
0.600000	9.545210e-01
1.100000	9.485010e-01
1.600000	9.387360e-01
2.100000	9.250820e-01
2.600000	9.141600e-01
3.100000	8.945820e-01
3.600000	8.773930e-01
4.100000	8.557390e-01
4.600000	8.330990e-01
5.100000	8.081540e-01
5.600000	7.842110e-01
6.100000	7.612050e-01
6.600000	7.385000e-01
7.100000	7.121780e-01
7.600000	6.872790e-01
8.100000	6.648140e-01
8.600000	6.408920e-01
9.100000	6.197180e-01
9.600000	5.928200e-01
10.000000	5.797260e-01
11.000000	5.364760e-01
12.000000	5.000270e-01
13.000000	4.646740e-01
14.000000	4.338830e-01
15.000000	4.037480e-01
16.000000	3.777870e-01
17.000000	3.550270e-01
18.000000	3.322240e-01
19.000000	3.136300e-01
20.000000	2.955410e-01
21.000000	2.787330e-01
22.000000	2.641040e-01
23.000000	2.495780e-01
24.000000	2.374560e-01
25.000000	2.259640e-01
26.000000	2.146210e-01
27.000000	2.052490e-01
28.000000	1.954390e-01
29.000000	1.874680e-01
30.000000	1.796360e-01
31.000000	1.710970e-01
32.000000	1.649320e-01
33.000000	1.583740e-01
34.000000	1.521520e-01
35.000000	1.467310e-01
36.000000	1.418300e-01
37.000000	1.361340e-01
38.000000	1.318140e-01
39.000000	1.270710e-01
40.000000	1.229220e-01
