# omega(GeV)	rho(GeV^-1)
-1.000000	4.924216e-03
-0.950000	4.866346e-03
-0.900000	5.121060e-03
-0.850000	5.190677e-03
-0.800000	6.015648e-03
-0.750000	6.318726e-03
-0.700000	7.509127e-03
-0.650000	8.567734e-03
-0.600000	9.926111e-03
-0.550000	1.166340e-02
-0.500000	1.401937e-02
-0.450000	1.725141e-02
-0.400000	2.151333e-02
-0.350000	2.777098e-02
-0.300000	3.684643e-02
-0.250000	5.040746e-02
-0.200000	7.204499e-02
-0.150000	1.086157e-01
-0.100000	1.757490e-01
-0.050000	3.191614e-01
0.000000	6.604806e-01
0.050000	1.608376e+00
0.100000	3.383044e+00
0.150000	2.754313e+00
0.200000	1.554424e+00
0.250000	9.898950e-01
0.300000	7.303956e-01
0.350000	5.913363e-01
0.400000	5.086567e-01
0.450000	4.532247e-01
0.500000	4.142458e-01
0.550000	3.843668e-01
0.600000	3.597580e-01
0.650000	3.391901e-01
0.700000	3.205648e-01
0.750000	3.035347e-01
0.800000	2.872178e-01
0.850000	2.715443e-01
0.900000	2.559497e-01
0.950000	2.407093e-01
1.000000	2.257443e-01
1.050000	2.110048e-01
1.100000	1.965788e-01
1.150000	1.820443e-01
1.200000	1.680384e-01
1.250000	1.545004e-01
1.300000	1.416213e-01
1.350000	1.292584e-01
1.400000	1.177212e-01
1.450000	1.069726e-01
1.500000	9.688655e-02
1.550000	8.754646e-02
1.600000	7.898749e-02
1.650000	7.115860e-02
1.700000	6.399322e-02
1.750000	5.751423e-02
1.800000	5.162940e-02
1.850000	4.642433e-02
1.900000	4.167964e-02
1.950000	3.736852e-02
2.000000	3.352941e-02
2.050000	3.012278e-02
2.100000	2.703311e-02
2.150000	2.427002e-02
2.200000	2.179757e-02
2.250000	1.958911e-02
2.300000	1.761189e-02
2.350000	1.584029e-02
2.450000	1.283011e-02
2.500000	1.155880e-02
2.550000	1.041784e-02
2.600000	9.385336e-03
2.650000	8.465342e-03
2.700000	7.639193e-03
2.750000	6.895739e-03
2.800000	6.228751e-03
2.850000	5.627076e-03
2.900000	5.086566e-03
2.950000	4.599227e-03
3.000000	4.163001e-03
3.050000	3.767265e-03
3.100000	3.414099e-03
3.150000	3.091906e-03
3.200000	2.800722e-03
3.250000	2.538137e-03
3.300000	2.301118e-03
3.350000	2.086726e-03
3.400000	1.892975e-03
3.450000	1.717814e-03
3.500000	1.559581e-03
3.550000	1.416352e-03
3.600000	1.286851e-03
3.650000	1.170219e-03
3.700000	1.064110e-03
3.750000	9.681288e-04
3.800000	8.793062e-04
3.850000	8.007629e-04
3.900000	7.296234e-04
3.950000	6.659582e-04
4.000000	6.075536e-04
4.050000	5.545659e-04
4.100000	5.067869e-04
4.150000	4.632241e-04
4.200000	4.216457e-04
4.250000	3.859338e-04
4.300000	3.576877e-04
4.350000	3.263784e-04
4.400000	2.993312e-04
4.450000	2.749160e-04
4.500000	2.527266e-04
4.550000	2.324753e-04
4.600000	2.141228e-04
4.650000	1.974262e-04
4.700000	1.822214e-04
4.750000	1.682389e-04
4.800000	1.540481e-04
4.850000	1.426645e-04
4.900000	1.322785e-04
4.950000	1.227908e-04
5.000000	1.136979e-04
5.050000	1.000056e-04
5.100000	8.767323e-05
5.150000	7.688281e-05
5.200000	6.743845e-05
5.250000	5.916964e-05
5.300000	5.192782e-05
5.350000	4.558356e-05
5.400000	4.002401e-05
5.450000	3.515074e-05
5.500000	3.087787e-05
5.550000	2.713044e-05
5.600000	2.384298e-05
5.650000	2.095831e-05
5.700000	1.842646e-05
5.750000	1.620374e-05
5.800000	1.425196e-05
5.850000	1.253770e-05
5.900000	1.103171e-05
5.950000	9.708422e-06
6.000000	8.545410e-06
6.050000	7.523054e-06
6.100000	6.624160e-06
6.150000	5.833663e-06
6.200000	5.138356e-06
6.250000	4.526662e-06
6.300000	3.988425e-06
6.350000	3.514739e-06
6.400000	3.097787e-06
6.450000	2.730711e-06
6.500000	2.407490e-06
6.550000	2.122835e-06
6.600000	1.872105e-06
6.650000	1.651221e-06
6.700000	1.456599e-06
6.750000	1.285091e-06
6.800000	1.133927e-06
6.850000	1.000676e-06
6.900000	8.831974e-07
6.950000	7.796090e-07
7.000000	6.882559e-07
7.050000	6.076816e-07
7.100000	5.366048e-07
7.150000	4.738974e-07
7.200000	4.185667e-07
7.250000	3.697386e-07
7.300000	3.266434e-07
7.350000	2.886032e-07
7.400000	2.550209e-07
7.450000	2.253706e-07
7.500000	1.991887e-07
7.550000	1.760668e-07
7.600000	1.556449e-07
7.650000	1.376057e-07
7.700000	1.216694e-07
7.750000	1.075892e-07
7.800000	9.514769e-08
7.850000	8.415294e-08
7.900000	7.443569e-08
7.950000	6.584662e-08
8.000000	5.825397e-08
