# P(GeV)	Gamma(GeV)
0.100000	6.977130e-01
0.600000	6.953080e-01
1.100000	6.937300e-01
1.600000	6.914230e-01
2.100000	6.865800e-01
2.600000	6.791570e-01
3.100000	6.724490e-01
3.600000	6.666820e-01
4.100000	6.591350e-01
4.600000	6.496050e-01
5.100000	6.373850e-01
5.600000	6.282420e-01
6.100000	6.144410e-01
6.600000	6.000730e-01
7.100000	5.881480e-01
7.600000	5.758430e-01
8.100000	5.602810e-01
8.600000	5.507570e-01
9.100000	5.359020e-01
9.600000	5.236790e-01
10.000000	5.135800e-01
11.000000	4.856080e-01
12.000000	4.600290e-01
13.000000	4.349160e-01
14.000000	4.119330e-01
15.000000	3.908320e-01
16.000000	3.682460e-01
17.000000	3.492650e-01
18.000000	3.312090e-01
19.000000	3.130080e-01
20.000000	2.986200e-01
21.000000	2.830470e-01
22.000000	2.704820e-01
23.000000	2.566310e-01
24.000000	2.447030e-01
25.000000	2.336250e-01
26.000000	2.241020e-01
27.000000	2.134340e-01
28.000000	2.047900e-01
29.000000	1.970040e-01
30.000000	1.883330e-01
31.000000	1.816150e-01
32.000000	1.743760e-01
33.000000	1.686200e-01
34.000000	1.616320e-01
35.000000	1.560550e-01
36.000000	1.505830e-01
37.000000	1.458760e-01
38.000000	1.404690e-01
39.000000	1.361300e-01
40.000000	1.324070e-01
