0.17	0.0	0.001346303	0.010060717	0.020171833	0.043397333	0.060250333	0.085874833	0.106797167
0.17	0.2	0.001346522	0.010059820	0.020170780	0.043394296	0.060236499	0.085861585	0.106797333
0.17	0.4	0.001347638	0.010056112	0.020166209	0.043380923	0.060179152	0.085802489	0.106792826
0.17	0.6	0.001349694	0.010051139	0.020159504	0.043360847	0.060101938	0.085711842	0.106772973
0.17	0.8	0.001352732	0.010046450	0.020152051	0.043337700	0.060028503	0.085603939	0.106727103
0.17	1.0	0.001356796	0.010043592	0.020145236	0.043315114	0.059982496	0.085493075	0.106644542
0.17	1.2	0.001361926	0.010044076	0.020140428	0.043296627	0.059986392	0.085393229	0.106514991
0.17	1.4	0.001368165	0.010048579	0.020138639	0.043283588	0.060035769	0.085311112	0.106336767
0.17	1.6	0.001375547	0.010056941	0.020140524	0.043275162	0.060099302	0.085246164	0.106116797
0.17	1.8	0.001384111	0.010068968	0.020146721	0.043270418	0.060144499	0.085197510	0.105862386
0.17	2.0	0.001393893	0.010084463	0.020157870	0.043268423	0.060138865	0.085164275	0.105580836
0.17	2.2	0.001404925	0.010103220	0.020174555	0.043268270	0.060051304	0.085145227	0.105279188
0.17	2.4	0.001417150	0.010124779	0.020196146	0.043269555	0.059882794	0.085130914	0.104958431
0.17	2.6	0.001430414	0.010148421	0.020220796	0.043272380	0.059666397	0.085103668	0.104613504
0.17	2.8	0.001444565	0.010173419	0.020246604	0.043276870	0.059436565	0.085045461	0.104239082
0.17	3.0	0.001459445	0.010199045	0.020271671	0.043283150	0.059227755	0.084938267	0.103829841
0.17	3.2	0.001474900	0.010224594	0.020294161	0.043291213	0.059073337	0.084764716	0.103381523
0.17	3.4	0.001490791	0.010249876	0.020313690	0.043298025	0.058981750	0.084522538	0.102914391
0.17	3.6	0.001506993	0.010275217	0.020331335	0.043297527	0.058936507	0.084224561	0.102473229
0.17	3.8	0.001523381	0.010300966	0.020348233	0.043283527	0.058920036	0.083884271	0.102103886
0.17	4.0	0.001539831	0.010327471	0.020365521	0.043249834	0.058914762	0.083515154	0.101852215
0.17	4.2	0.001556224	0.010355050	0.020384248	0.043190602	0.058903243	0.083130510	0.101760975
0.17	4.4	0.001572591	0.010383279	0.020403413	0.043107991	0.058870994	0.082739376	0.101801886
0.17	4.6	0.001589106	0.010410999	0.020419968	0.043012157	0.058806490	0.082346526	0.101875623
0.17	4.8	0.001605953	0.010437018	0.020430773	0.042913606	0.058698336	0.081956547	0.101879775
0.17	5.0	0.001623313	0.010460144	0.020432689	0.042822844	0.058535137	0.081574028	0.101711927
0.17	5.2	0.001641365	0.010479254	0.020422783	0.042749896	0.058306380	0.081203410	0.101274113
0.17	5.4	0.001660169	0.010494810	0.020402812	0.042693744	0.058021920	0.080845726	0.100570589
0.17	5.6	0.001679669	0.010508863	0.020379231	0.042642325	0.057711969	0.080498607	0.099707841
0.17	5.8	0.001699805	0.010523530	0.020358696	0.042583095	0.057407628	0.080159534	0.098796797
0.17	6.0	0.001720515	0.010540930	0.020347864	0.042503511	0.057139997	0.079825988	0.097948386
0.17	6.2	0.001741738	0.010563044	0.020353038	0.042391671	0.056938956	0.079495346	0.097269680
0.17	6.4	0.001763390	0.010588702	0.020372387	0.042250426	0.056806329	0.079162606	0.096779033
0.17	6.6	0.001785363	0.010613581	0.020395943	0.042097377	0.056715884	0.078820380	0.096406077
0.17	6.8	0.001807551	0.010633220	0.020413383	0.041950767	0.056640169	0.078461179	0.096076590
0.17	7.0	0.001829846	0.010643161	0.020414387	0.041828840	0.056551733	0.078077514	0.095716348
0.17	7.2	0.001852135	0.010639165	0.020389109	0.041748857	0.056423937	0.077662416	0.095253360
0.17	7.4	0.001874187	0.010622126	0.020338637	0.041705492	0.056248816	0.077220908	0.094666934
0.17	7.6	0.001895653	0.010598063	0.020274999	0.041670834	0.056037080	0.076770000	0.093987685
0.17	7.8	0.001916180	0.010573220	0.020210694	0.041615990	0.055800251	0.076327225	0.093248457
0.17	8.0	0.001935413	0.010553840	0.020158224	0.041512064	0.055549853	0.075910117	0.092482094
0.17	8.2	0.001953015	0.010545932	0.020129551	0.041331510	0.055297086	0.075535242	0.091720738
0.17	8.4	0.001969047	0.010550106	0.020124239	0.041077752	0.055045726	0.075196954	0.090980417
0.17	8.6	0.001983963	0.010561572	0.020129459	0.040785181	0.054792131	0.074867393	0.090261037
0.17	8.8	0.001998238	0.010575305	0.020131838	0.040489540	0.054532334	0.074517733	0.089561805
0.17	9.0	0.002012345	0.010586282	0.020118006	0.040226567	0.054262369	0.074119148	0.088881928
0.17	9.2	0.002026743	0.010589638	0.020075096	0.040030680	0.053978387	0.073644133	0.088220613
0.17	9.4	0.002041562	0.010584198	0.020001789	0.039905861	0.053679270	0.073095568	0.087577057
0.17	9.6	0.002056607	0.010572474	0.019908319	0.039825658	0.053366626	0.072506717	0.086950450
0.17	9.8	0.002071668	0.010557139	0.019805422	0.039762296	0.053042182	0.071912166	0.086339979
0.17	10.0	0.002086533	0.010540867	0.019703833	0.039688000	0.052707667	0.071346500	0.085744833
0.17	10.2	0.002101033	0.010525808	0.019612193	0.039580359	0.052364812	0.070836772	0.085164110
