# E(GeV)	Re_Tmatrix(GeV^-2)
0.000000	-7.707220e+00
0.010000	-7.711240e+00
0.020000	-7.715260e+00
0.030000	-7.719280e+00
0.040000	-7.723300e+00
0.050000	-7.727320e+00
0.060000	-7.731430e+00
0.070000	-7.735590e+00
0.080000	-7.739790e+00
0.090000	-7.744030e+00
0.100000	-7.748320e+00
0.110000	-7.752650e+00
0.120000	-7.757020e+00
0.130000	-7.761450e+00
0.140000	-7.765920e+00
0.150000	-7.770440e+00
0.160000	-7.775000e+00
0.170000	-7.779610e+00
0.180000	-7.784280e+00
0.190000	-7.789000e+00
0.200000	-7.793770e+00
0.210000	-7.798570e+00
0.220000	-7.803440e+00
0.230000	-7.808360e+00
0.240000	-7.813350e+00
0.250000	-7.818390e+00
0.260000	-7.823500e+00
0.270000	-7.828660e+00
0.280000	-7.833890e+00
0.290000	-7.839170e+00
0.300000	-7.844520e+00
0.310000	-7.849920e+00
0.320000	-7.855390e+00
0.330000	-7.860920e+00
0.340000	-7.866530e+00
0.350000	-7.872210e+00
0.360000	-7.877940e+00
0.370000	-7.883750e+00
0.380000	-7.889630e+00
0.390000	-7.895600e+00
0.400000	-7.901640e+00
0.410000	-7.907740e+00
0.420000	-7.913930e+00
0.430000	-7.920200e+00
0.440000	-7.926550e+00
0.450000	-7.933000e+00
0.460000	-7.939500e+00
0.470000	-7.946100e+00
0.480000	-7.952790e+00
0.490000	-7.959590e+00
0.500000	-7.966480e+00
0.510000	-7.973440e+00
0.520000	-7.980510e+00
0.530000	-7.987690e+00
0.540000	-7.994980e+00
0.550000	-8.002370e+00
0.560000	-8.009840e+00
0.570000	-8.017430e+00
0.580000	-8.025150e+00
0.590000	-8.032980e+00
0.600000	-8.040930e+00
0.610000	-8.048970e+00
0.620000	-8.057150e+00
0.630000	-8.065460e+00
0.640000	-8.073910e+00
0.650000	-8.082490e+00
0.660000	-8.091170e+00
0.670000	-8.100010e+00
0.680000	-8.109000e+00
0.690000	-8.118150e+00
0.700000	-8.127460e+00
0.710000	-8.136870e+00
0.720000	-8.146470e+00
0.730000	-8.156240e+00
0.740000	-8.166180e+00
0.750000	-8.176300e+00
0.760000	-8.186540e+00
0.770000	-8.196980e+00
0.780000	-8.207630e+00
0.790000	-8.218490e+00
0.800000	-8.229550e+00
0.810000	-8.240760e+00
0.820000	-8.252210e+00
0.830000	-8.263890e+00
0.840000	-8.275800e+00
0.850000	-8.287950e+00
0.860000	-8.300260e+00
0.870000	-8.312840e+00
0.880000	-8.325690e+00
0.890000	-8.338810e+00
0.900000	-8.352210e+00
0.910000	-8.365760e+00
0.920000	-8.379640e+00
0.930000	-8.393850e+00
0.940000	-8.408390e+00
0.950000	-8.423260e+00
0.960000	-8.438380e+00
0.970000	-8.453870e+00
0.980000	-8.469720e+00
0.990000	-8.485950e+00
1.000000	-8.502540e+00
1.010000	-8.519350e+00
1.020000	-8.536600e+00
1.030000	-8.554300e+00
1.040000	-8.572460e+00
1.050000	-8.591060e+00
1.060000	-8.610010e+00
1.070000	-8.629460e+00
1.080000	-8.649420e+00
1.090000	-8.669890e+00
1.100000	-8.690870e+00
1.110000	-8.712130e+00
1.120000	-8.734010e+00
1.130000	-8.756520e+00
1.140000	-8.779670e+00
1.150000	-8.803440e+00
1.160000	-8.827710e+00
1.170000	-8.852680e+00
1.180000	-8.878340e+00
1.190000	-8.904710e+00
1.200000	-8.931770e+00
1.210000	-8.959310e+00
1.220000	-8.987660e+00
1.230000	-9.016820e+00
1.240000	-9.046780e+00
1.250000	-9.077540e+00
1.260000	-9.108970e+00
1.270000	-9.141280e+00
1.280000	-9.174460e+00
1.290000	-9.208520e+00
1.300000	-9.243450e+00
1.310000	-9.279260e+00
1.320000	-9.315940e+00
1.330000	-9.353500e+00
1.340000	-9.391940e+00
1.350000	-9.431250e+00
1.360000	-9.471640e+00
1.370000	-9.512810e+00
1.380000	-9.554740e+00
1.390000	-9.597450e+00
1.400000	-9.640920e+00
1.410000	-9.685810e+00
1.420000	-9.731150e+00
1.430000	-9.776930e+00
1.440000	-9.823170e+00
1.450000	-9.869860e+00
1.460000	-9.918230e+00
1.470000	-9.966440e+00
1.480000	-1.001450e+01
1.490000	-1.006230e+01
