# P(GeV)	Gamma(GeV)
0.100000	4.700600e-02
0.600000	4.749800e-02
1.100000	4.845300e-02
1.600000	4.992500e-02
2.100000	5.147100e-02
2.600000	5.420600e-02
3.100000	5.690800e-02
3.600000	5.958500e-02
4.100000	6.266600e-02
4.600000	6.684700e-02
5.100000	7.000300e-02
5.600000	7.370600e-02
6.100000	7.709800e-02
6.600000	8.089500e-02
7.100000	8.424000e-02
7.600000	8.752500e-02
8.100000	9.063900e-02
8.600000	9.357100e-02
9.100000	9.585300e-02
9.600000	9.893600e-02
10.000000	1.005260e-01
11.000000	1.039640e-01
12.000000	1.072670e-01
13.000000	1.093900e-01
14.000000	1.106300e-01
15.000000	1.114950e-01
16.000000	1.106660e-01
17.000000	1.103580e-01
18.000000	1.099000e-01
19.000000	1.086430e-01
20.000000	1.078510e-01
21.000000	1.060170e-01
22.000000	1.039450e-01
23.000000	1.023670e-01
24.000000	9.990500e-02
25.000000	9.822300e-02
26.000000	9.612500e-02
27.000000	9.404200e-02
28.000000	9.209500e-02
29.000000	9.046100e-02
30.000000	8.823100e-02
31.000000	8.641800e-02
32.000000	8.461600e-02
33.000000	8.257300e-02
34.000000	8.084200e-02
35.000000	7.911000e-02
36.000000	7.735200e-02
37.000000	7.581800e-02
38.000000	7.410800e-02
39.000000	7.276300e-02
40.000000	7.157600e-02
