# omega(GeV)	rho(GeV^-1)
-1.000000	8.743460e-08
-0.995000	8.653300e-08
-0.990000	8.562420e-08
-0.985000	8.470810e-08
-0.980000	8.378480e-08
-0.975000	8.285410e-08
-0.970000	8.191590e-08
-0.965000	8.097040e-08
-0.960000	8.001720e-08
-0.955000	7.905650e-08
-0.950000	7.808810e-08
-0.945000	7.781950e-08
-0.940000	7.763170e-08
-0.935000	7.752560e-08
-0.930000	7.750210e-08
-0.925000	7.756220e-08
-0.920000	7.770680e-08
-0.915000	7.793680e-08
-0.910000	7.825310e-08
-0.905000	7.865690e-08
-0.900000	7.914900e-08
-0.895000	7.972620e-08
-0.890000	8.039470e-08
-0.885000	8.115550e-08
-0.880000	8.200960e-08
-0.875000	8.295810e-08
-0.870000	8.400210e-08
-0.865000	8.514260e-08
-0.860000	8.638080e-08
-0.855000	8.771770e-08
-0.850000	8.915440e-08
-0.845000	9.069970e-08
-0.840000	9.234550e-08
-0.835000	9.409280e-08
-0.830000	9.594300e-08
-0.825000	9.789710e-08
-0.820000	9.995630e-08
-0.815000	1.021220e-07
-0.810000	1.043950e-07
-0.805000	1.067760e-07
-0.800000	1.092680e-07
-0.795000	1.118630e-07
-0.790000	1.145710e-07
-0.785000	1.173960e-07
-0.780000	1.203370e-07
-0.775000	1.233960e-07
-0.770000	1.265750e-07
-0.765000	1.298750e-07
-0.760000	1.332970e-07
-0.755000	1.368430e-07
-0.750000	1.405130e-07
-0.745000	1.443590e-07
-0.740000	1.483230e-07
-0.735000	1.524050e-07
-0.730000	1.566070e-07
-0.725000	1.609310e-07
-0.720000	1.653770e-07
-0.715000	1.699480e-07
-0.710000	1.746450e-07
-0.705000	1.794680e-07
-0.700000	1.844200e-07
-0.695000	1.896790e-07
-0.690000	1.950320e-07
-0.685000	2.004790e-07
-0.680000	2.060210e-07
-0.675000	2.116600e-07
-0.670000	2.173970e-07
-0.665000	2.232330e-07
-0.660000	2.291680e-07
-0.655000	2.352040e-07
-0.650000	2.413430e-07
-0.645000	2.474540e-07
-0.640000	2.536970e-07
-0.635000	2.600750e-07
-0.630000	2.665870e-07
-0.625000	2.732370e-07
-0.620000	2.800250e-07
-0.615000	2.869530e-07
-0.610000	2.940230e-07
-0.605000	3.012360e-07
-0.600000	3.085940e-07
-0.595000	3.155850e-07
-0.590000	3.228340e-07
-0.585000	3.303450e-07
-0.580000	3.381210e-07
-0.575000	3.461660e-07
-0.570000	3.544820e-07
