# P(GeV)	Gamma(GeV)
0.100000	4.454410e-01
0.600000	4.456070e-01
1.100000	4.450280e-01
1.600000	4.465820e-01
2.100000	4.463800e-01
2.600000	4.457320e-01
3.100000	4.485150e-01
3.600000	4.471300e-01
4.100000	4.460850e-01
4.600000	4.445760e-01
5.100000	4.437770e-01
5.600000	4.406800e-01
6.100000	4.387440e-01
6.600000	4.357450e-01
7.100000	4.343440e-01
7.600000	4.284450e-01
8.100000	4.252260e-01
8.600000	4.193280e-01
9.100000	4.129570e-01
9.600000	4.083230e-01
10.000000	4.029410e-01
11.000000	3.901080e-01
12.000000	3.767480e-01
13.000000	3.620120e-01
14.000000	3.466660e-01
15.000000	3.317300e-01
16.000000	3.211730e-01
17.000000	3.040190e-01
18.000000	2.917870e-01
19.000000	2.804070e-01
20.000000	2.655790e-01
21.000000	2.565320e-01
22.000000	2.451750e-01
23.000000	2.354140e-01
24.000000	2.253860e-01
25.000000	2.157930e-01
26.000000	2.082590e-01
27.000000	1.993320e-01
28.000000	1.922500e-01
29.000000	1.847960e-01
30.000000	1.777260e-01
31.000000	1.705220e-01
32.000000	1.656130e-01
33.000000	1.603720e-01
34.000000	1.540870e-01
35.000000	1.493180e-01
36.000000	1.444410e-01
37.000000	1.399030e-01
38.000000	1.352840e-01
39.000000	1.315630e-01
40.000000	1.273440e-01
