# E(GeV)	Re_Tmatrix(GeV^-2)
2.260000	-2.972810e+00
2.270000	-2.960450e+00
2.280000	-2.948420e+00
2.290000	-2.936720e+00
2.300000	-2.925350e+00
2.310000	-2.914340e+00
2.320000	-2.903650e+00
2.330000	-2.893270e+00
2.340000	-2.883210e+00
2.350000	-2.873470e+00
2.360000	-2.864090e+00
2.370000	-2.855000e+00
2.380000	-2.846210e+00
2.390000	-2.837720e+00
2.400000	-2.829520e+00
2.410000	-2.821650e+00
2.420000	-2.814060e+00
2.430000	-2.806750e+00
2.440000	-2.799710e+00
2.450000	-2.792940e+00
2.460000	-2.786490e+00
2.470000	-2.780300e+00
2.480000	-2.774350e+00
2.490000	-2.768650e+00
2.500000	-2.763200e+00
2.510000	-2.758050e+00
2.520000	-2.753120e+00
2.530000	-2.748420e+00
2.540000	-2.743930e+00
2.550000	-2.739670e+00
2.560000	-2.735680e+00
2.570000	-2.731880e+00
2.580000	-2.728280e+00
2.590000	-2.724880e+00
2.600000	-2.721680e+00
2.610000	-2.718720e+00
2.620000	-2.715930e+00
2.630000	-2.713320e+00
2.640000	-2.710870e+00
2.650000	-2.708600e+00
2.660000	-2.706550e+00
2.670000	-2.704640e+00
2.680000	-2.702880e+00
2.690000	-2.701270e+00
2.700000	-2.699810e+00
2.710000	-2.698540e+00
2.720000	-2.697400e+00
2.730000	-2.696380e+00
2.740000	-2.695490e+00
2.750000	-2.694740e+00
2.760000	-2.694140e+00
2.770000	-2.693660e+00
2.780000	-2.693280e+00
2.790000	-2.693010e+00
2.800000	-2.692850e+00
2.810000	-2.692830e+00
2.820000	-2.692900e+00
2.830000	-2.693060e+00
2.840000	-2.693320e+00
2.850000	-2.693660e+00
2.860000	-2.694130e+00
2.870000	-2.694680e+00
2.880000	-2.695300e+00
2.890000	-2.695990e+00
2.900000	-2.696760e+00
2.910000	-2.697620e+00
2.920000	-2.698540e+00
2.930000	-2.699520e+00
2.940000	-2.700570e+00
2.950000	-2.701670e+00
2.960000	-2.702870e+00
2.970000	-2.704110e+00
2.980000	-2.705410e+00
2.990000	-2.706750e+00
