# E(GeV)	Re_Tmatrix(GeV^-2)
0.000000	-2.020510e+01
0.010000	-2.021670e+01
0.020000	-2.022830e+01
0.030000	-2.023990e+01
0.040000	-2.025140e+01
0.050000	-2.026300e+01
0.060000	-2.027500e+01
0.070000	-2.028710e+01
0.080000	-2.029930e+01
0.090000	-2.031170e+01
0.100000	-2.032420e+01
0.110000	-2.033670e+01
0.120000	-2.034950e+01
0.130000	-2.036240e+01
0.140000	-2.037540e+01
0.150000	-2.038860e+01
0.160000	-2.040190e+01
0.170000	-2.041540e+01
0.180000	-2.042900e+01
0.190000	-2.044280e+01
0.200000	-2.045680e+01
0.210000	-2.047090e+01
0.220000	-2.048520e+01
0.230000	-2.049960e+01
0.240000	-2.051420e+01
0.250000	-2.052900e+01
0.260000	-2.054390e+01
0.270000	-2.055910e+01
0.280000	-2.057440e+01
0.290000	-2.058990e+01
0.300000	-2.060560e+01
0.310000	-2.062150e+01
0.320000	-2.063760e+01
0.330000	-2.065390e+01
0.340000	-2.067040e+01
0.350000	-2.068720e+01
0.360000	-2.070400e+01
0.370000	-2.072110e+01
0.380000	-2.073850e+01
0.390000	-2.075610e+01
0.400000	-2.077390e+01
0.410000	-2.079200e+01
0.420000	-2.081030e+01
0.430000	-2.082880e+01
0.440000	-2.084760e+01
0.450000	-2.086670e+01
0.460000	-2.088600e+01
0.470000	-2.090550e+01
0.480000	-2.092540e+01
0.490000	-2.094550e+01
0.500000	-2.096600e+01
0.510000	-2.098660e+01
0.520000	-2.100760e+01
0.530000	-2.102900e+01
0.540000	-2.105060e+01
0.550000	-2.107260e+01
0.560000	-2.109480e+01
0.570000	-2.111740e+01
0.580000	-2.114040e+01
0.590000	-2.116370e+01
0.600000	-2.118740e+01
0.610000	-2.121140e+01
0.620000	-2.123580e+01
0.630000	-2.126060e+01
0.640000	-2.128580e+01
0.650000	-2.131140e+01
0.660000	-2.133730e+01
0.670000	-2.136360e+01
0.680000	-2.139050e+01
0.690000	-2.141780e+01
0.700000	-2.144560e+01
0.710000	-2.147390e+01
0.720000	-2.150260e+01
0.730000	-2.153190e+01
0.740000	-2.156180e+01
0.750000	-2.159220e+01
0.760000	-2.162300e+01
0.770000	-2.165440e+01
0.780000	-2.168640e+01
0.790000	-2.171910e+01
0.800000	-2.175240e+01
0.810000	-2.178610e+01
0.820000	-2.182050e+01
0.830000	-2.185570e+01
0.840000	-2.189160e+01
0.850000	-2.192830e+01
0.860000	-2.196540e+01
0.870000	-2.200340e+01
0.880000	-2.204230e+01
0.890000	-2.208200e+01
0.900000	-2.212270e+01
0.910000	-2.216380e+01
0.920000	-2.220600e+01
0.930000	-2.224920e+01
0.940000	-2.229340e+01
0.950000	-2.233870e+01
0.960000	-2.238460e+01
0.970000	-2.243180e+01
0.980000	-2.248020e+01
0.990000	-2.252980e+01
1.000000	-2.258070e+01
1.010000	-2.263220e+01
1.020000	-2.268530e+01
1.030000	-2.273980e+01
1.040000	-2.279590e+01
1.050000	-2.285350e+01
1.060000	-2.291190e+01
1.070000	-2.297220e+01
1.080000	-2.303440e+01
1.090000	-2.309830e+01
1.100000	-2.316410e+01
1.110000	-2.323080e+01
1.120000	-2.329980e+01
1.130000	-2.337110e+01
1.140000	-2.344470e+01
1.150000	-2.352060e+01
1.160000	-2.359770e+01
1.170000	-2.367760e+01
1.180000	-2.376040e+01
1.190000	-2.384610e+01
1.200000	-2.393460e+01
1.210000	-2.402450e+01
1.220000	-2.411790e+01
1.230000	-2.421500e+01
1.240000	-2.431580e+01
1.250000	-2.442010e+01
1.260000	-2.452610e+01
1.270000	-2.463670e+01
1.280000	-2.475190e+01
1.290000	-2.487170e+01
1.300000	-2.499600e+01
1.310000	-2.512260e+01
1.320000	-2.525500e+01
1.330000	-2.539320e+01
1.340000	-2.553710e+01
1.350000	-2.568680e+01
1.360000	-2.583980e+01
1.370000	-2.599980e+01
1.380000	-2.616690e+01
1.390000	-2.634100e+01
1.400000	-2.652210e+01
1.410000	-2.670640e+01
1.420000	-2.689970e+01
1.430000	-2.710190e+01
1.440000	-2.731310e+01
1.450000	-2.753320e+01
1.460000	-2.776170e+01
1.470000	-2.799940e+01
1.480000	-2.824640e+01
1.490000	-2.850270e+01
1.500000	-2.876810e+01
1.510000	-2.904500e+01
1.520000	-2.933010e+01
1.530000	-2.962330e+01
1.540000	-2.992470e+01
1.550000	-3.023420e+01
1.560000	-3.056480e+01
1.570000	-3.089700e+01
1.580000	-3.123100e+01
1.590000	-3.156670e+01
1.600000	-3.190400e+01
1.610000	-3.227760e+01
1.620000	-3.263570e+01
1.630000	-3.297810e+01
1.640000	-3.330500e+01
1.650000	-3.361630e+01
1.660000	-3.397970e+01
1.670000	-3.429370e+01
1.680000	-3.455820e+01
1.690000	-3.477340e+01
1.700000	-3.493910e+01
1.710000	-3.514320e+01
1.720000	-3.525400e+01
1.730000	-3.527140e+01
1.740000	-3.519560e+01
1.750000	-3.502650e+01
1.760000	-3.479630e+01
1.770000	-3.445660e+01
1.780000	-3.400750e+01
1.790000	-3.344900e+01
1.800000	-3.278100e+01
1.810000	-3.190010e+01
1.820000	-3.096150e+01
1.830000	-2.996510e+01
1.840000	-2.891110e+01
1.850000	-2.779940e+01
1.860000	-2.646210e+01
1.870000	-2.515100e+01
1.880000	-2.386620e+01
1.890000	-2.260780e+01
1.900000	-2.137560e+01
1.910000	-2.007770e+01
1.920000	-1.885220e+01
1.930000	-1.769890e+01
1.940000	-1.661800e+01
1.950000	-1.560940e+01
1.960000	-1.467730e+01
1.970000	-1.381540e+01
1.980000	-1.302380e+01
1.990000	-1.230240e+01
2.000000	-1.165120e+01
2.010000	-1.111290e+01
2.020000	-1.062360e+01
2.030000	-1.018320e+01
2.040000	-9.791710e+00
2.050000	-9.449200e+00
2.060000	-9.193240e+00
2.070000	-8.967430e+00
2.080000	-8.771760e+00
2.090000	-8.606230e+00
2.100000	-8.470850e+00
2.110000	-8.392330e+00
2.120000	-8.330590e+00
2.130000	-8.285640e+00
2.140000	-8.257480e+00
2.150000	-8.246110e+00
2.160000	-8.267700e+00
2.170000	-8.298000e+00
2.180000	-8.336990e+00
2.190000	-8.384670e+00
2.200000	-8.441050e+00
2.210000	-8.516170e+00
2.220000	-8.594970e+00
2.230000	-8.677440e+00
2.240000	-8.763600e+00
2.250000	-8.853420e+00
2.260000	-8.952900e+00
2.270000	-9.053070e+00
2.280000	-9.153930e+00
2.290000	-9.255480e+00
2.300000	-9.357720e+00
2.310000	-9.464330e+00
2.320000	-9.569800e+00
2.330000	-9.674110e+00
2.340000	-9.777270e+00
2.350000	-9.879280e+00
2.360000	-9.982250e+00
2.370000	-1.008300e+01
2.380000	-1.018160e+01
2.390000	-1.027790e+01
2.400000	-1.037210e+01
2.410000	-1.046480e+01
2.420000	-1.055490e+01
2.430000	-1.064240e+01
2.440000	-1.072740e+01
2.450000	-1.080980e+01
2.460000	-1.089000e+01
2.470000	-1.096750e+01
2.480000	-1.104220e+01
2.490000	-1.111430e+01
2.500000	-1.118360e+01
2.510000	-1.124960e+01
2.520000	-1.131310e+01
2.530000	-1.137440e+01
2.540000	-1.143320e+01
2.550000	-1.148980e+01
2.560000	-1.154330e+01
2.570000	-1.159480e+01
2.580000	-1.164440e+01
2.590000	-1.169190e+01
2.600000	-1.173740e+01
2.610000	-1.177990e+01
2.620000	-1.182080e+01
2.630000	-1.186040e+01
2.640000	-1.189840e+01
2.650000	-1.193490e+01
2.660000	-1.196920e+01
2.670000	-1.200230e+01
2.680000	-1.203440e+01
2.690000	-1.206550e+01
2.700000	-1.209550e+01
2.710000	-1.212370e+01
2.720000	-1.215120e+01
2.730000	-1.217810e+01
2.740000	-1.220440e+01
2.750000	-1.223000e+01
2.760000	-1.225430e+01
2.770000	-1.227830e+01
2.780000	-1.230200e+01
2.790000	-1.232530e+01
2.800000	-1.234830e+01
2.810000	-1.237040e+01
2.820000	-1.239240e+01
2.830000	-1.241440e+01
2.840000	-1.243630e+01
2.850000	-1.245800e+01
2.860000	-1.247950e+01
2.870000	-1.250100e+01
2.880000	-1.252250e+01
2.890000	-1.254410e+01
2.900000	-1.256570e+01
2.910000	-1.258730e+01
2.920000	-1.260890e+01
2.930000	-1.263070e+01
2.940000	-1.265270e+01
2.950000	-1.267480e+01
2.960000	-1.269690e+01
2.970000	-1.271920e+01
2.980000	-1.274180e+01
2.990000	-1.276450e+01
3.000000	-1.278740e+01
3.010000	-1.281050e+01
3.020000	-1.283390e+01
3.030000	-1.285740e+01
3.040000	-1.288110e+01
3.050000	-1.290500e+01
3.060000	-1.292910e+01
3.070000	-1.295340e+01
3.080000	-1.297790e+01
3.090000	-1.300260e+01
3.100000	-1.302750e+01
3.110000	-1.305250e+01
3.120000	-1.307780e+01
3.130000	-1.310310e+01
3.140000	-1.312870e+01
3.150000	-1.315430e+01
3.160000	-1.318020e+01
3.170000	-1.320620e+01
3.180000	-1.323230e+01
3.190000	-1.325850e+01
3.200000	-1.328480e+01
3.210000	-1.331130e+01
3.220000	-1.333790e+01
3.230000	-1.336450e+01
3.240000	-1.339120e+01
3.250000	-1.341790e+01
