# omega(GeV)	rho(GeV^-1)
-1.000000	6.365150e-04
-0.995000	6.486180e-04
-0.990000	6.608870e-04
-0.985000	6.733250e-04
-0.980000	6.859350e-04
-0.975000	6.987190e-04
-0.970000	7.116810e-04
-0.965000	7.248240e-04
-0.960000	7.381500e-04
-0.955000	7.516620e-04
-0.950000	7.653650e-04
-0.945000	7.714130e-04
-0.940000	7.781750e-04
-0.935000	7.856660e-04
-0.930000	7.939040e-04
-0.925000	8.029060e-04
-0.920000	8.126900e-04
-0.915000	8.232740e-04
-0.910000	8.346780e-04
-0.905000	8.469190e-04
-0.900000	8.600190e-04
-0.895000	8.768290e-04
-0.890000	8.939500e-04
-0.885000	9.113890e-04
-0.880000	9.291530e-04
-0.875000	9.472470e-04
-0.870000	9.656790e-04
-0.865000	9.844550e-04
-0.860000	1.003580e-03
-0.855000	1.023070e-03
-0.850000	1.042920e-03
-0.845000	1.061210e-03
-0.840000	1.080290e-03
-0.835000	1.100160e-03
-0.830000	1.120860e-03
-0.825000	1.142380e-03
-0.820000	1.164770e-03
-0.815000	1.188030e-03
-0.810000	1.212200e-03
-0.805000	1.237280e-03
-0.800000	1.263310e-03
-0.795000	1.291890e-03
-0.790000	1.321140e-03
-0.785000	1.351060e-03
-0.780000	1.381680e-03
-0.775000	1.413000e-03
-0.770000	1.445050e-03
-0.765000	1.477830e-03
-0.760000	1.511370e-03
-0.755000	1.545690e-03
-0.750000	1.580790e-03
-0.745000	1.616740e-03
-0.740000	1.653510e-03
-0.735000	1.691110e-03
-0.730000	1.729580e-03
-0.725000	1.768910e-03
-0.720000	1.809150e-03
-0.715000	1.850310e-03
-0.710000	1.892410e-03
-0.705000	1.935470e-03
-0.700000	1.979530e-03
-0.695000	2.023490e-03
-0.690000	2.068720e-03
-0.685000	2.115240e-03
-0.680000	2.163080e-03
-0.675000	2.212290e-03
-0.670000	2.262900e-03
-0.665000	2.314940e-03
-0.660000	2.368450e-03
-0.655000	2.423470e-03
-0.650000	2.480030e-03
-0.645000	2.539010e-03
-0.640000	2.599460e-03
-0.635000	2.661400e-03
-0.630000	2.724870e-03
-0.625000	2.789920e-03
-0.620000	2.856590e-03
-0.615000	2.924910e-03
-0.610000	2.994940e-03
-0.605000	3.066710e-03
-0.600000	3.140280e-03
-0.595000	3.214140e-03
-0.590000	3.290210e-03
-0.585000	3.368540e-03
-0.580000	3.449210e-03
-0.575000	3.532280e-03
-0.570000	3.617820e-03
-0.565000	3.705890e-03
-0.560000	3.796580e-03
-0.555000	3.889950e-03
-0.550000	3.986080e-03
-0.545000	4.084430e-03
-0.540000	4.185820e-03
-0.535000	4.290350e-03
-0.530000	4.398120e-03
-0.525000	4.509230e-03
-0.520000	4.623770e-03
-0.515000	4.741860e-03
-0.510000	4.863600e-03
-0.505000	4.989120e-03
-0.500000	5.118520e-03
-0.495000	5.237800e-03
-0.490000	5.364050e-03
-0.485000	5.497510e-03
-0.480000	5.638450e-03
-0.475000	5.787110e-03
-0.470000	5.943770e-03
-0.465000	6.108700e-03
-0.460000	6.282200e-03
-0.455000	6.464550e-03
-0.450000	6.656080e-03
-0.445000	6.907060e-03
-0.440000	7.157960e-03
-0.435000	7.408720e-03
-0.430000	7.659250e-03
-0.425000	7.909490e-03
-0.420000	8.159340e-03
-0.415000	8.408710e-03
-0.410000	8.657520e-03
-0.405000	8.905660e-03
-0.400000	9.153030e-03
