# P(GeV)	Gamma(GeV)
0.100000	3.296370e-01
0.600000	3.297270e-01
1.100000	3.313620e-01
1.600000	3.312350e-01
2.100000	3.325280e-01
2.600000	3.357580e-01
3.100000	3.362790e-01
3.600000	3.413160e-01
4.100000	3.437280e-01
4.600000	3.454880e-01
5.100000	3.452070e-01
5.600000	3.466100e-01
6.100000	3.475930e-01
6.600000	3.506290e-01
7.100000	3.497520e-01
7.600000	3.493000e-01
8.100000	3.486780e-01
8.600000	3.457070e-01
9.100000	3.445650e-01
9.600000	3.426290e-01
10.000000	3.395090e-01
11.000000	3.309600e-01
12.000000	3.224600e-01
13.000000	3.126190e-01
14.000000	3.039270e-01
15.000000	2.925200e-01
16.000000	2.817920e-01
17.000000	2.718070e-01
18.000000	2.617870e-01
19.000000	2.517360e-01
20.000000	2.430340e-01
21.000000	2.330520e-01
22.000000	2.242250e-01
23.000000	2.162150e-01
24.000000	2.076430e-01
25.000000	2.000040e-01
26.000000	1.926690e-01
27.000000	1.844150e-01
28.000000	1.782330e-01
29.000000	1.724830e-01
30.000000	1.662170e-01
31.000000	1.604690e-01
32.000000	1.551650e-01
33.000000	1.502650e-01
34.000000	1.456950e-01
35.000000	1.409240e-01
36.000000	1.373390e-01
37.000000	1.322960e-01
38.000000	1.285120e-01
39.000000	1.245990e-01
40.000000	1.203570e-01
