# E(GeV)	Re_Tmatrix(GeV^-2)
0.000000	-5.958580e+00
0.010000	-5.961590e+00
0.020000	-5.964590e+00
0.030000	-5.967590e+00
0.040000	-5.970590e+00
0.050000	-5.973590e+00
0.060000	-5.976690e+00
0.070000	-5.979820e+00
0.080000	-5.982990e+00
0.090000	-5.986200e+00
0.100000	-5.989440e+00
0.110000	-5.992710e+00
0.120000	-5.996030e+00
0.130000	-5.999380e+00
0.140000	-6.002780e+00
0.150000	-6.006220e+00
0.160000	-6.009680e+00
0.170000	-6.013190e+00
0.180000	-6.016750e+00
0.190000	-6.020350e+00
0.200000	-6.024000e+00
0.210000	-6.027680e+00
0.220000	-6.031410e+00
0.230000	-6.035190e+00
0.240000	-6.039020e+00
0.250000	-6.042900e+00
0.260000	-6.046820e+00
0.270000	-6.050800e+00
0.280000	-6.054830e+00
0.290000	-6.058910e+00
0.300000	-6.063050e+00
0.310000	-6.067220e+00
0.320000	-6.071450e+00
0.330000	-6.075750e+00
0.340000	-6.080100e+00
0.350000	-6.084520e+00
0.360000	-6.088990e+00
0.370000	-6.093520e+00
0.380000	-6.098130e+00
0.390000	-6.102800e+00
0.400000	-6.107540e+00
0.410000	-6.112330e+00
0.420000	-6.117200e+00
0.430000	-6.122140e+00
0.440000	-6.127160e+00
0.450000	-6.132250e+00
0.460000	-6.137380e+00
0.470000	-6.142610e+00
0.480000	-6.147920e+00
0.490000	-6.153330e+00
0.500000	-6.158820e+00
0.510000	-6.164390e+00
0.520000	-6.170060e+00
0.530000	-6.175830e+00
0.540000	-6.181700e+00
0.550000	-6.187670e+00
0.560000	-6.193710e+00
0.570000	-6.199870e+00
0.580000	-6.206130e+00
0.590000	-6.212500e+00
0.600000	-6.218980e+00
0.610000	-6.225500e+00
0.620000	-6.232160e+00
0.630000	-6.238960e+00
0.640000	-6.245900e+00
0.650000	-6.252980e+00
0.660000	-6.260180e+00
0.670000	-6.267530e+00
0.680000	-6.275040e+00
0.690000	-6.282690e+00
0.700000	-6.290490e+00
