# omega(GeV)	rho(GeV^-1)
-1.000000	6.179180e-04
-0.995000	5.760270e-04
-0.990000	5.342870e-04
-0.985000	4.926950e-04
-0.980000	4.512520e-04
-0.975000	4.099570e-04
-0.970000	3.688090e-04
-0.965000	3.278080e-04
-0.960000	2.869540e-04
-0.955000	2.462450e-04
-0.950000	2.056810e-04
-0.945000	1.711720e-04
-0.940000	1.368930e-04
-0.935000	1.028460e-04
-0.930000	6.903570e-05
-0.925000	3.546460e-05
-0.920000	2.136110e-06
-0.915000	-3.094630e-05
-0.910000	-6.377910e-05
-0.905000	-9.635870e-05
-0.900000	-1.286810e-04
-0.895000	-1.606770e-04
-0.890000	-1.924230e-04
-0.885000	-2.239160e-04
-0.880000	-2.551510e-04
-0.875000	-2.861230e-04
-0.870000	-3.168280e-04
-0.865000	-3.472600e-04
-0.860000	-3.774150e-04
-0.855000	-4.072880e-04
-0.850000	-4.368730e-04
-0.845000	-4.661230e-04
-0.840000	-4.950850e-04
-0.835000	-5.237540e-04
-0.830000	-5.521230e-04
-0.825000	-5.801860e-04
-0.820000	-6.079360e-04
-0.815000	-6.353670e-04
-0.810000	-6.624720e-04
-0.805000	-6.892430e-04
-0.800000	-7.156730e-04
-0.795000	-7.391450e-04
-0.790000	-7.628140e-04
-0.785000	-7.866810e-04
-0.780000	-8.107510e-04
-0.775000	-8.350250e-04
-0.770000	-8.595060e-04
-0.765000	-8.841970e-04
-0.760000	-9.091000e-04
-0.755000	-9.342190e-04
-0.750000	-9.595560e-04
-0.745000	-9.861090e-04
-0.740000	-1.012670e-03
-0.735000	-1.039250e-03
-0.730000	-1.065840e-03
-0.725000	-1.092440e-03
-0.720000	-1.119050e-03
-0.715000	-1.145670e-03
-0.710000	-1.172300e-03
-0.705000	-1.198940e-03
-0.700000	-1.225590e-03
-0.695000	-1.254560e-03
-0.690000	-1.283060e-03
-0.685000	-1.311070e-03
-0.680000	-1.338580e-03
-0.675000	-1.365570e-03
-0.670000	-1.392040e-03
-0.665000	-1.417980e-03
-0.660000	-1.443360e-03
-0.655000	-1.468180e-03
-0.650000	-1.492420e-03
-0.645000	-1.510030e-03
-0.640000	-1.528300e-03
-0.635000	-1.547240e-03
-0.630000	-1.566870e-03
-0.625000	-1.587200e-03
-0.620000	-1.608240e-03
-0.615000	-1.630010e-03
-0.610000	-1.652520e-03
-0.605000	-1.675790e-03
-0.600000	-1.699830e-03
-0.595000	-1.731730e-03
-0.590000	-1.762950e-03
-0.585000	-1.793480e-03
-0.580000	-1.823280e-03
-0.575000	-1.852360e-03
-0.570000	-1.880690e-03
-0.565000	-1.908250e-03
-0.560000	-1.935020e-03
-0.555000	-1.960990e-03
-0.550000	-1.986140e-03
-0.545000	-2.003670e-03
-0.540000	-2.021760e-03
-0.535000	-2.040400e-03
-0.530000	-2.059610e-03
-0.525000	-2.079410e-03
-0.520000	-2.099800e-03
-0.515000	-2.120790e-03
-0.510000	-2.142400e-03
-0.505000	-2.164640e-03
-0.500000	-2.187530e-03
-0.495000	-2.211430e-03
-0.490000	-2.235920e-03
-0.485000	-2.261010e-03
-0.480000	-2.286730e-03
-0.475000	-2.313070e-03
-0.470000	-2.340050e-03
-0.465000	-2.367690e-03
-0.460000	-2.396010e-03
-0.455000	-2.425010e-03
-0.450000	-2.454710e-03
-0.445000	-2.497810e-03
-0.440000	-2.539030e-03
-0.435000	-2.578300e-03
-0.430000	-2.615570e-03
-0.425000	-2.650790e-03
-0.420000	-2.683910e-03
-0.415000	-2.714860e-03
-0.410000	-2.743580e-03
-0.405000	-2.770020e-03
-0.400000	-2.794110e-03
-0.395000	-2.795560e-03
-0.390000	-2.798700e-03
-0.385000	-2.803600e-03
-0.380000	-2.810290e-03
-0.375000	-2.818820e-03
-0.370000	-2.829240e-03
-0.365000	-2.841600e-03
-0.360000	-2.855950e-03
-0.355000	-2.872340e-03
-0.350000	-2.890830e-03
-0.345000	-2.931430e-03
-0.340000	-2.970130e-03
-0.335000	-3.006880e-03
-0.330000	-3.041610e-03
-0.325000	-3.074260e-03
-0.320000	-3.104780e-03
-0.315000	-3.133090e-03
-0.310000	-3.159140e-03
-0.305000	-3.182840e-03
-0.300000	-3.204140e-03
-0.295000	-3.211840e-03
-0.290000	-3.219250e-03
-0.285000	-3.226370e-03
-0.280000	-3.233190e-03
-0.275000	-3.239700e-03
-0.270000	-3.245880e-03
-0.265000	-3.251740e-03
-0.260000	-3.257240e-03
-0.255000	-3.262390e-03
-0.250000	-3.267180e-03
-0.245000	-3.275200e-03
-0.240000	-3.282090e-03
-0.235000	-3.287810e-03
-0.230000	-3.292320e-03
-0.225000	-3.295590e-03
-0.220000	-3.297570e-03
-0.215000	-3.298210e-03
-0.210000	-3.297480e-03
-0.205000	-3.295310e-03
-0.200000	-3.291680e-03
-0.195000	-3.287710e-03
-0.190000	-3.281920e-03
-0.185000	-3.274250e-03
-0.180000	-3.264620e-03
-0.175000	-3.252990e-03
-0.170000	-3.239260e-03
-0.165000	-3.223380e-03
-0.160000	-3.205260e-03
-0.155000	-3.184820e-03
-0.150000	-3.161980e-03
-0.145000	-3.142580e-03
-0.140000	-3.119420e-03
-0.135000	-3.092370e-03
-0.130000	-3.061280e-03
-0.125000	-3.026000e-03
-0.120000	-2.986370e-03
-0.115000	-2.942230e-03
-0.110000	-2.893410e-03
-0.105000	-2.839730e-03
-0.100000	-2.781000e-03
-0.095000	-2.722710e-03
-0.090000	-2.657850e-03
-0.085000	-2.586160e-03
-0.080000	-2.507360e-03
-0.075000	-2.421170e-03
-0.070000	-2.327290e-03
-0.065000	-2.225420e-03
-0.060000	-2.115220e-03
-0.055000	-1.996340e-03
-0.050000	-1.868440e-03
-0.045000	-1.745410e-03
-0.040000	-1.609780e-03
-0.035000	-1.461020e-03
-0.030000	-1.298540e-03
-0.025000	-1.121760e-03
-0.020000	-9.300400e-04
-0.015000	-7.227190e-04
-0.010000	-4.991000e-04
-0.005000	-2.584510e-04
0.000000	4.261560e-17
0.005000	2.698060e-04
0.010000	5.604770e-04
0.015000	8.729870e-04
0.020000	1.208370e-03
0.025000	1.567690e-03
0.030000	1.952120e-03
0.035000	2.362840e-03
0.040000	2.801150e-03
0.045000	3.268380e-03
0.050000	3.765960e-03
0.055000	4.258250e-03
0.060000	4.791050e-03
0.065000	5.366460e-03
0.070000	5.986680e-03
0.075000	6.654050e-03
0.080000	7.371050e-03
0.085000	8.140310e-03
0.090000	8.964610e-03
0.095000	9.846900e-03
0.100000	1.079030e-02
0.105000	1.176520e-02
0.110000	1.281430e-02
0.115000	1.394180e-02
0.120000	1.515200e-02
0.125000	1.644960e-02
0.130000	1.783960e-02
0.135000	1.932730e-02
0.140000	2.091820e-02
0.145000	2.261820e-02
0.150000	2.443390e-02
0.155000	2.634470e-02
0.160000	2.839090e-02
0.165000	3.058010e-02
0.170000	3.292050e-02
0.175000	3.542090e-02
0.180000	3.809050e-02
0.185000	4.093900e-02
0.190000	4.397660e-02
0.195000	4.721440e-02
0.200000	5.066380e-02
0.205000	5.433110e-02
0.210000	5.823770e-02
0.215000	6.239670e-02
0.220000	6.682200e-02
0.225000	7.152780e-02
0.230000	7.652930e-02
0.235000	8.184200e-02
0.240000	8.748220e-02
0.245000	9.346670e-02
0.250000	9.981280e-02
0.255000	1.066360e-01
0.260000	1.138430e-01
0.265000	1.214510e-01
0.270000	1.294760e-01
0.275000	1.379340e-01
0.280000	1.468390e-01
0.285000	1.562080e-01
0.290000	1.660550e-01
0.295000	1.763930e-01
0.300000	1.872350e-01
0.305000	1.987600e-01
0.310000	2.107800e-01
0.315000	2.233010e-01
0.320000	2.363220e-01
0.325000	2.498430e-01
0.330000	2.638590e-01
0.335000	2.783610e-01
0.340000	2.933370e-01
0.345000	3.087720e-01
0.350000	3.246430e-01
0.355000	3.411010e-01
0.360000	3.579090e-01
0.365000	3.750280e-01
0.370000	3.924150e-01
0.375000	4.100220e-01
0.380000	4.277960e-01
0.385000	4.456810e-01
0.390000	4.636150e-01
0.395000	4.815350e-01
0.400000	4.993730e-01
0.405000	5.172000e-01
0.410000	5.347520e-01
0.415000	5.519640e-01
0.420000	5.687750e-01
0.425000	5.851230e-01
0.430000	6.009510e-01
0.435000	6.162050e-01
0.440000	6.308370e-01
0.445000	6.448000e-01
0.450000	6.580570e-01
0.455000	6.704190e-01
0.460000	6.820400e-01
0.465000	6.928990e-01
0.470000	7.029850e-01
0.475000	7.122890e-01
0.480000	7.208100e-01
0.485000	7.285480e-01
0.490000	7.355120e-01
0.495000	7.417110e-01
0.500000	7.471620e-01
0.505000	7.517860e-01
0.510000	7.557190e-01
0.515000	7.589870e-01
0.520000	7.616170e-01
0.525000	7.636370e-01
0.530000	7.650770e-01
0.535000	7.659670e-01
0.540000	7.663390e-01
0.545000	7.662230e-01
0.550000	7.656490e-01
0.555000	7.645800e-01
0.560000	7.631280e-01
0.565000	7.613240e-01
0.570000	7.591960e-01
0.575000	7.567700e-01
0.580000	7.540730e-01
0.585000	7.511300e-01
0.590000	7.479640e-01
0.595000	7.445980e-01
0.600000	7.410520e-01
0.605000	7.372330e-01
0.610000	7.333020e-01
0.615000	7.292740e-01
0.620000	7.251640e-01
0.625000	7.209860e-01
0.630000	7.167530e-01
0.635000	7.124760e-01
0.640000	7.081660e-01
0.645000	7.038330e-01
0.650000	6.994870e-01
0.655000	6.950340e-01
0.660000	6.906100e-01
0.665000	6.862190e-01
0.670000	6.818670e-01
0.675000	6.775570e-01
0.680000	6.732920e-01
0.685000	6.690770e-01
0.690000	6.649140e-01
