# P(GeV)	Gamma(GeV)
0.100000	5.475260e-01
0.600000	5.464990e-01
1.100000	5.462280e-01
1.600000	5.450170e-01
2.100000	5.425370e-01
2.600000	5.414740e-01
3.100000	5.407040e-01
3.600000	5.371000e-01
4.100000	5.329310e-01
4.600000	5.309510e-01
5.100000	5.251360e-01
5.600000	5.190920e-01
6.100000	5.152140e-01
6.600000	5.106220e-01
7.100000	4.995150e-01
7.600000	4.936960e-01
8.100000	4.863460e-01
8.600000	4.775220e-01
9.100000	4.656860e-01
9.600000	4.601810e-01
10.000000	4.521430e-01
11.000000	4.319920e-01
12.000000	4.140460e-01
13.000000	3.965170e-01
14.000000	3.773850e-01
15.000000	3.600700e-01
16.000000	3.421300e-01
17.000000	3.265550e-01
18.000000	3.115060e-01
19.000000	2.956630e-01
20.000000	2.832910e-01
21.000000	2.701810e-01
22.000000	2.584490e-01
23.000000	2.461090e-01
24.000000	2.349740e-01
25.000000	2.270770e-01
26.000000	2.159770e-01
27.000000	2.071880e-01
28.000000	1.993200e-01
29.000000	1.917760e-01
30.000000	1.840570e-01
31.000000	1.769350e-01
32.000000	1.705030e-01
33.000000	1.645200e-01
34.000000	1.590620e-01
35.000000	1.534410e-01
36.000000	1.484360e-01
37.000000	1.435570e-01
38.000000	1.387670e-01
39.000000	1.346360e-01
40.000000	1.303930e-01
