# omega(GeV)	rho(GeV^-1)
-1.000000	4.796439e-06
-0.950000	-9.350683e-05
-0.900000	-1.708229e-04
-0.850000	-2.370190e-04
-0.800000	-2.678951e-04
-0.750000	-3.046360e-04
-0.700000	-5.733865e-05
-0.650000	-5.078724e-05
-0.600000	-5.966591e-05
-0.550000	-2.310152e-04
-0.500000	-1.213437e-04
-0.450000	-1.097655e-04
-0.400000	-1.523749e-04
-0.350000	-2.183590e-04
-0.300000	-3.101051e-04
-0.250000	-4.468369e-04
-0.200000	-3.611377e-04
-0.150000	-1.266885e-04
-0.100000	-3.576963e-04
-0.050000	-2.551143e-04
0.000000	3.091323e-18
0.050000	8.521689e-04
0.100000	2.651006e-03
0.150000	5.731702e-03
0.200000	1.112159e-02
0.250000	2.016696e-02
0.300000	3.573416e-02
0.350000	6.330764e-02
0.400000	1.123286e-01
0.450000	1.968004e-01
0.500000	3.277957e-01
0.550000	4.903906e-01
0.600000	6.332925e-01
0.650000	7.026338e-01
0.700000	7.072963e-01
0.750000	6.800317e-01
0.800000	6.460165e-01
0.850000	6.168561e-01
0.900000	5.972685e-01
0.950000	5.877128e-01
1.000000	5.846276e-01
1.050000	5.931732e-01
1.100000	5.977978e-01
1.150000	6.219835e-01
1.200000	6.476561e-01
1.250000	6.756680e-01
1.300000	7.064083e-01
1.350000	7.349693e-01
1.400000	7.576458e-01
1.450000	7.705537e-01
1.500000	7.696448e-01
1.550000	7.517569e-01
1.600000	7.177232e-01
1.650000	6.675727e-01
1.700000	6.048276e-01
1.750000	5.358349e-01
1.800000	4.652149e-01
1.850000	3.979776e-01
1.900000	3.358123e-01
1.950000	2.808225e-01
2.000000	2.332345e-01
2.050000	1.928093e-01
2.100000	1.589626e-01
2.150000	1.308393e-01
2.200000	1.074173e-01
2.250000	8.953026e-02
2.300000	7.423921e-02
2.350000	6.051371e-02
2.450000	4.118923e-02
2.500000	3.412924e-02
2.550000	2.829419e-02
2.600000	2.349698e-02
2.650000	1.954649e-02
2.700000	1.629418e-02
2.750000	1.359484e-02
2.800000	1.135621e-02
2.850000	9.496983e-03
2.900000	7.953840e-03
2.950000	6.668432e-03
3.000000	5.598355e-03
3.050000	4.714808e-03
3.100000	3.980581e-03
3.150000	3.339537e-03
3.200000	2.812762e-03
3.250000	2.372555e-03
3.300000	2.011768e-03
3.350000	1.699734e-03
3.400000	1.438099e-03
3.450000	1.218121e-03
3.500000	1.032997e-03
3.550000	8.725012e-04
3.600000	7.412991e-04
3.650000	6.306179e-04
3.700000	5.353237e-04
3.750000	4.567274e-04
3.800000	3.901822e-04
3.850000	3.326015e-04
3.900000	2.887654e-04
3.950000	2.486416e-04
4.000000	1.735977e-04
4.050000	1.496938e-04
4.100000	1.340050e-04
4.150000	1.159371e-04
4.200000	1.004865e-04
4.250000	8.728690e-05
4.300000	7.601007e-05
4.350000	6.635675e-05
4.400000	5.805768e-05
4.450000	5.096040e-05
4.500000	4.484695e-05
4.550000	3.959016e-05
4.600000	3.507739e-05
4.650000	3.117767e-05
4.700000	2.780706e-05
4.750000	2.488739e-05
4.800000	2.236023e-05
4.850000	2.016965e-05
4.900000	1.825792e-05
4.950000	1.659230e-05
5.000000	1.501173e-05
5.050000	8.974947e-06
5.100000	5.316459e-06
5.150000	3.150548e-06
5.200000	1.867745e-06
5.250000	1.107673e-06
5.300000	6.571475e-07
5.350000	3.900023e-07
5.400000	2.315368e-07
5.450000	1.375045e-07
5.500000	8.168723e-08
5.550000	4.854312e-08
5.600000	2.885584e-08
5.650000	1.715808e-08
5.700000	1.020539e-08
5.750000	6.071736e-09
5.800000	3.613395e-09
5.850000	2.150970e-09
5.900000	1.280757e-09
5.950000	7.627987e-10
6.000000	4.544239e-10
6.050000	2.707809e-10
6.100000	1.613904e-10
6.150000	9.621404e-11
6.200000	5.737167e-11
6.250000	3.421786e-11
6.300000	2.041278e-11
6.350000	1.217990e-11
6.400000	7.269012e-12
6.450000	4.339055e-12
6.500000	2.590606e-12
6.550000	1.547006e-12
6.600000	9.239865e-13
6.650000	5.519762e-13
6.700000	3.298030e-13
6.750000	1.970910e-13
6.800000	1.178028e-13
6.850000	7.042373e-14
6.900000	4.210718e-14
6.950000	2.518056e-14
7.000000	1.506071e-14
7.050000	9.009380e-15
7.100000	5.390296e-15
7.150000	3.225501e-15
7.200000	1.930401e-15
7.250000	1.155480e-15
7.300000	6.917369e-16
7.350000	4.141729e-16
7.400000	2.480182e-16
7.450000	1.485408e-16
7.500000	8.897483e-17
7.550000	5.330239e-17
7.600000	3.193622e-17
7.650000	1.913712e-17
7.700000	1.146898e-17
7.750000	6.874287e-18
7.800000	4.120824e-18
7.850000	2.470547e-18
7.900000	1.481338e-18
7.950000	8.883134e-19
8.000000	5.327562e-19
