# E(GeV)	-Im_Tmatrix(GeV^-2)
2.440000	2.075410e+00
2.450000	2.053720e+00
2.460000	2.032150e+00
2.470000	2.010770e+00
2.480000	1.989570e+00
2.490000	1.968560e+00
2.500000	1.947740e+00
2.510000	1.927070e+00
2.520000	1.906600e+00
2.530000	1.886330e+00
2.540000	1.866260e+00
2.550000	1.846390e+00
2.560000	1.826690e+00
2.570000	1.807210e+00
2.580000	1.787930e+00
2.590000	1.768850e+00
2.600000	1.749990e+00
2.610000	1.731320e+00
2.620000	1.712870e+00
2.630000	1.694620e+00
2.640000	1.676590e+00
2.650000	1.658760e+00
2.660000	1.641140e+00
2.670000	1.623730e+00
2.680000	1.606540e+00
2.690000	1.589550e+00
2.700000	1.572780e+00
2.710000	1.556220e+00
2.720000	1.539880e+00
2.730000	1.523740e+00
2.740000	1.507800e+00
2.750000	1.492080e+00
2.760000	1.476560e+00
2.770000	1.461260e+00
2.780000	1.446150e+00
2.790000	1.431240e+00
2.800000	1.416540e+00
2.810000	1.402050e+00
2.820000	1.387750e+00
2.830000	1.373650e+00
2.840000	1.359750e+00
2.850000	1.346040e+00
2.860000	1.332550e+00
2.870000	1.319250e+00
2.880000	1.306130e+00
2.890000	1.293190e+00
2.900000	1.280440e+00
2.910000	1.267890e+00
2.920000	1.255520e+00
2.930000	1.243320e+00
2.940000	1.231300e+00
2.950000	1.219450e+00
2.960000	1.207810e+00
2.970000	1.196320e+00
2.980000	1.185000e+00
2.990000	1.173850e+00
3.000000	1.162850e+00
3.010000	1.152050e+00
3.020000	1.141400e+00
3.030000	1.130900e+00
3.040000	1.120550e+00
3.050000	1.110350e+00
3.060000	1.100330e+00
3.070000	1.090440e+00
3.080000	1.080700e+00
3.090000	1.071090e+00
3.100000	1.061620e+00
3.110000	1.052320e+00
3.120000	1.043140e+00
3.130000	1.034090e+00
3.140000	1.025160e+00
3.150000	1.016370e+00
3.160000	1.007720e+00
3.170000	9.991870e-01
3.180000	9.907690e-01
3.190000	9.824660e-01
3.200000	9.742760e-01
3.210000	9.662270e-01
3.220000	9.582790e-01
3.230000	9.504320e-01
3.240000	9.426850e-01
3.250000	9.350390e-01
3.260000	9.275130e-01
3.270000	9.200780e-01
3.280000	9.127330e-01
3.290000	9.054790e-01
3.300000	8.983150e-01
3.310000	8.912650e-01
3.320000	8.842930e-01
3.330000	8.774000e-01
3.340000	8.705870e-01
3.350000	8.638520e-01
3.360000	8.572170e-01
3.370000	8.506500e-01
3.380000	8.441520e-01
3.390000	8.377220e-01
3.400000	8.313610e-01
3.410000	8.250860e-01
3.420000	8.188700e-01
3.430000	8.127140e-01
3.440000	8.066170e-01
3.450000	8.005800e-01
3.460000	7.946180e-01
3.470000	7.887080e-01
3.480000	7.828490e-01
3.490000	7.770420e-01
3.500000	7.712870e-01
3.510000	7.656000e-01
3.520000	7.599560e-01
3.530000	7.543560e-01
3.540000	7.488000e-01
3.550000	7.432880e-01
3.560000	7.378310e-01
3.570000	7.324120e-01
3.580000	7.270320e-01
3.590000	7.216900e-01
3.600000	7.163870e-01
3.610000	7.111330e-01
3.620000	7.059120e-01
3.630000	7.007230e-01
3.640000	6.955680e-01
3.650000	6.904450e-01
3.660000	6.853630e-01
3.670000	6.803090e-01
3.680000	6.752850e-01
3.690000	6.702890e-01
3.700000	6.653220e-01
3.710000	6.603910e-01
3.720000	6.554850e-01
3.730000	6.506040e-01
3.740000	6.457490e-01
3.750000	6.409200e-01
3.760000	6.361190e-01
3.770000	6.313420e-01
3.780000	6.265880e-01
3.790000	6.218580e-01
3.800000	6.171510e-01
3.810000	6.124760e-01
3.820000	6.078200e-01
3.830000	6.031840e-01
3.840000	5.985680e-01
3.850000	5.939720e-01
3.860000	5.893970e-01
3.870000	5.848410e-01
3.880000	5.803040e-01
3.890000	5.757880e-01
3.900000	5.712910e-01
3.910000	5.668160e-01
3.920000	5.623600e-01
3.930000	5.579220e-01
3.940000	5.535020e-01
3.950000	5.491010e-01
3.960000	5.447200e-01
3.970000	5.403560e-01
3.980000	5.360090e-01
3.990000	5.316800e-01
4.000000	5.273680e-01
4.010000	5.230730e-01
4.020000	5.187950e-01
4.030000	5.145350e-01
4.040000	5.102940e-01
4.050000	5.060700e-01
4.060000	5.018670e-01
4.070000	4.976810e-01
4.080000	4.935110e-01
4.090000	4.893570e-01
4.100000	4.852200e-01
4.110000	4.810950e-01
4.120000	4.769890e-01
4.130000	4.729010e-01
4.140000	4.688310e-01
4.150000	4.647800e-01
4.160000	4.607510e-01
4.170000	4.567380e-01
4.180000	4.527430e-01
4.190000	4.487630e-01
4.200000	4.448010e-01
4.210000	4.408520e-01
4.220000	4.369220e-01
4.230000	4.330100e-01
4.240000	4.291160e-01
4.250000	4.252400e-01
4.260000	4.213820e-01
4.270000	4.175430e-01
4.280000	4.137220e-01
4.290000	4.099190e-01
4.300000	4.061350e-01
4.310000	4.023680e-01
4.320000	3.986210e-01
4.330000	3.948920e-01
4.340000	3.911820e-01
4.350000	3.874920e-01
4.360000	3.838190e-01
4.370000	3.801660e-01
4.380000	3.765330e-01
4.390000	3.729180e-01
4.400000	3.693230e-01
4.410000	3.657460e-01
4.420000	3.621890e-01
4.430000	3.586520e-01
4.440000	3.551330e-01
4.450000	3.516340e-01
4.460000	3.481520e-01
4.470000	3.446910e-01
4.480000	3.412500e-01
4.490000	3.378290e-01
4.500000	3.344280e-01
4.510000	3.310470e-01
4.520000	3.276870e-01
4.530000	3.243480e-01
4.540000	3.210290e-01
4.550000	3.177310e-01
4.560000	3.144530e-01
4.570000	3.111950e-01
4.580000	3.079590e-01
4.590000	3.047440e-01
4.600000	3.015510e-01
4.610000	2.983780e-01
4.620000	2.952260e-01
4.630000	2.920960e-01
4.640000	2.889870e-01
4.650000	2.858990e-01
4.660000	2.828320e-01
4.670000	2.797870e-01
4.680000	2.767630e-01
4.690000	2.737600e-01
4.700000	2.707790e-01
4.710000	2.678180e-01
4.720000	2.648780e-01
4.730000	2.619610e-01
4.740000	2.590660e-01
4.750000	2.561920e-01
4.760000	2.533410e-01
4.770000	2.505120e-01
4.780000	2.477040e-01
4.790000	2.449190e-01
4.800000	2.421550e-01
4.810000	2.394120e-01
4.820000	2.366920e-01
4.830000	2.339930e-01
4.840000	2.313160e-01
4.850000	2.286610e-01
4.860000	2.260280e-01
4.870000	2.234160e-01
4.880000	2.208250e-01
4.890000	2.182570e-01
4.900000	2.157100e-01
4.910000	2.131850e-01
4.920000	2.106810e-01
4.930000	2.081990e-01
4.940000	2.057390e-01
4.950000	2.033000e-01
4.960000	2.008830e-01
4.970000	1.984880e-01
4.980000	1.961140e-01
4.990000	1.937610e-01
5.000000	1.914310e-01
5.010000	1.891220e-01
5.020000	1.868340e-01
5.030000	1.845680e-01
5.040000	1.823220e-01
5.050000	1.800980e-01
5.060000	1.778950e-01
5.070000	1.757130e-01
5.080000	1.735510e-01
5.090000	1.714110e-01
5.100000	1.692910e-01
5.110000	1.671920e-01
5.120000	1.651140e-01
5.130000	1.630560e-01
5.140000	1.610180e-01
5.150000	1.590010e-01
5.160000	1.570050e-01
5.170000	1.550290e-01
5.180000	1.530730e-01
5.190000	1.511360e-01
5.200000	1.492200e-01
5.210000	1.473240e-01
5.220000	1.454470e-01
5.230000	1.435900e-01
5.240000	1.417520e-01
5.250000	1.399340e-01
5.260000	1.381360e-01
5.270000	1.363570e-01
5.280000	1.345970e-01
5.290000	1.328560e-01
5.300000	1.311340e-01
5.310000	1.294320e-01
5.320000	1.277480e-01
5.330000	1.260830e-01
5.340000	1.244350e-01
5.350000	1.228060e-01
5.360000	1.211970e-01
5.370000	1.196050e-01
5.380000	1.180300e-01
5.390000	1.164730e-01
5.400000	1.149340e-01
5.410000	1.134130e-01
5.420000	1.119090e-01
5.430000	1.104220e-01
5.440000	1.089520e-01
5.450000	1.074990e-01
5.460000	1.060640e-01
5.470000	1.046460e-01
5.480000	1.032430e-01
5.490000	1.018580e-01
5.500000	1.004880e-01
5.510000	9.913670e-02
5.520000	9.780060e-02
5.530000	9.647990e-02
5.540000	9.517450e-02
5.550000	9.388450e-02
5.560000	9.260930e-02
5.570000	9.134970e-02
5.580000	9.010570e-02
5.590000	8.887740e-02
5.600000	8.766460e-02
5.610000	8.647080e-02
5.620000	8.529100e-02
5.630000	8.412510e-02
5.640000	8.297310e-02
5.650000	8.183520e-02
5.660000	8.071200e-02
5.670000	7.960240e-02
5.680000	7.850630e-02
5.690000	7.742380e-02
5.700000	7.635490e-02
5.710000	7.530060e-02
5.720000	7.425930e-02
5.730000	7.323100e-02
5.740000	7.221580e-02
5.750000	7.121350e-02
5.760000	7.022760e-02
5.770000	6.925300e-02
5.780000	6.828970e-02
5.790000	6.733790e-02
5.800000	6.639740e-02
5.810000	6.546450e-02
5.820000	6.454490e-02
5.830000	6.363850e-02
5.840000	6.274530e-02
5.850000	6.186540e-02
5.860000	6.100470e-02
5.870000	6.015420e-02
5.880000	5.931400e-02
5.890000	5.848390e-02
5.900000	5.766410e-02
5.910000	5.685410e-02
5.920000	5.605450e-02
5.930000	5.526540e-02
5.940000	5.448660e-02
5.950000	5.371830e-02
5.960000	5.296160e-02
5.970000	5.221480e-02
5.980000	5.147770e-02
5.990000	5.075050e-02
6.000000	5.003310e-02
6.010000	4.932690e-02
6.020000	4.862980e-02
6.030000	4.794190e-02
6.040000	4.726320e-02
6.050000	4.659360e-02
6.060000	4.593410e-02
6.070000	4.528330e-02
6.080000	4.464120e-02
