# E(GeV)	-Im_Tmatrix(GeV^-2)
0.000000	9.271710e-22
0.010000	1.355590e-06
0.020000	2.711190e-06
0.030000	4.066780e-06
0.040000	5.422370e-06
0.050000	6.777970e-06
0.060000	8.459100e-06
0.070000	1.037740e-05
0.080000	1.253280e-05
0.090000	1.492540e-05
0.100000	1.755520e-05
0.110000	2.017340e-05
0.120000	2.315310e-05
0.130000	2.649430e-05
0.140000	3.019710e-05
0.150000	3.426150e-05
0.160000	3.837800e-05
0.170000	4.301070e-05
0.180000	4.815960e-05
0.190000	5.382480e-05
0.200000	6.000620e-05
0.210000	6.628530e-05
0.220000	7.328990e-05
0.230000	8.102000e-05
0.240000	8.947540e-05
0.250000	9.865630e-05
0.260000	1.078900e-04
0.270000	1.181860e-04
0.280000	1.295430e-04
0.290000	1.419620e-04
0.300000	1.554420e-04
0.310000	1.693630e-04
0.320000	1.846560e-04
0.330000	2.013200e-04
0.340000	2.193570e-04
0.350000	2.387660e-04
0.360000	2.582360e-04
0.370000	2.797330e-04
0.380000	3.032580e-04
0.390000	3.288100e-04
0.400000	3.563890e-04
0.410000	3.843680e-04
0.420000	4.151880e-04
0.430000	4.488500e-04
0.440000	4.853520e-04
0.450000	5.246950e-04
0.460000	5.641630e-04
0.470000	6.078300e-04
0.480000	6.556960e-04
0.490000	7.077620e-04
0.500000	7.640270e-04
0.510000	8.222330e-04
0.520000	8.857680e-04
0.530000	9.546300e-04
0.540000	1.028820e-03
0.550000	1.108340e-03
0.560000	1.186370e-03
0.570000	1.273130e-03
0.580000	1.368630e-03
0.590000	1.472870e-03
0.600000	1.585850e-03
0.610000	1.702550e-03
0.620000	1.830490e-03
0.630000	1.969680e-03
0.640000	2.120110e-03
0.650000	2.281780e-03
0.660000	2.442130e-03
0.670000	2.620010e-03
0.680000	2.815420e-03
0.690000	3.028350e-03
0.700000	3.258800e-03
0.710000	3.491800e-03
0.720000	3.749810e-03
0.730000	4.032840e-03
0.740000	4.340890e-03
0.750000	4.673960e-03
0.760000	5.010180e-03
0.770000	5.382350e-03
0.780000	5.790470e-03
0.790000	6.234530e-03
0.800000	6.714550e-03
0.810000	7.194400e-03
0.820000	7.728250e-03
0.830000	8.316100e-03
0.840000	8.957960e-03
0.850000	9.653810e-03
0.860000	1.035570e-02
0.870000	1.113560e-02
0.880000	1.199350e-02
0.890000	1.292930e-02
0.900000	1.394310e-02
0.910000	1.495790e-02
0.920000	1.608920e-02
0.930000	1.733690e-02
0.940000	1.870100e-02
0.950000	2.018150e-02
0.960000	2.166820e-02
0.970000	2.332640e-02
0.980000	2.515620e-02
0.990000	2.715770e-02
1.000000	2.933080e-02
1.010000	3.151680e-02
1.020000	3.395380e-02
1.030000	3.664180e-02
1.040000	3.958080e-02
1.050000	4.277080e-02
1.060000	4.598030e-02
1.070000	4.955660e-02
1.080000	5.349970e-02
1.090000	5.780950e-02
1.100000	6.248610e-02
1.110000	6.721360e-02
1.120000	7.246570e-02
1.130000	7.824260e-02
1.140000	8.454420e-02
1.150000	9.137050e-02
1.160000	9.831190e-02
1.170000	1.059830e-01
1.180000	1.143830e-01
1.190000	1.235130e-01
1.200000	1.333720e-01
1.210000	1.434630e-01
1.220000	1.545320e-01
1.230000	1.665800e-01
1.240000	1.796060e-01
1.250000	1.936120e-01
1.260000	2.080770e-01
1.270000	2.237800e-01
1.280000	2.407220e-01
1.290000	2.589030e-01
1.300000	2.783220e-01
1.310000	2.985320e-01
1.320000	3.202040e-01
1.330000	3.433390e-01
1.340000	3.679380e-01
1.350000	3.939980e-01
1.360000	4.212760e-01
1.370000	4.501400e-01
1.380000	4.805890e-01
1.390000	5.126240e-01
1.400000	5.462450e-01
1.410000	5.815380e-01
1.420000	6.183740e-01
1.430000	6.567520e-01
1.440000	6.966730e-01
1.450000	7.381360e-01
1.460000	7.816460e-01
1.470000	8.264460e-01
1.480000	8.725370e-01
1.490000	9.199190e-01
1.500000	9.685910e-01
1.510000	1.019490e+00
1.520000	1.071210e+00
1.530000	1.123750e+00
1.540000	1.177120e+00
1.550000	1.231310e+00
1.560000	1.287610e+00
1.570000	1.344090e+00
1.580000	1.400750e+00
1.590000	1.457600e+00
1.600000	1.514640e+00
1.610000	1.573310e+00
1.620000	1.631450e+00
1.630000	1.689040e+00
1.640000	1.746090e+00
1.650000	1.802610e+00
1.660000	1.859990e+00
1.670000	1.916120e+00
1.680000	1.971020e+00
1.690000	2.024670e+00
1.700000	2.077080e+00
1.710000	2.129390e+00
1.720000	2.179890e+00
1.730000	2.228570e+00
1.740000	2.275440e+00
1.750000	2.320490e+00
1.760000	2.364460e+00
1.770000	2.406250e+00
1.780000	2.445860e+00
1.790000	2.483290e+00
1.800000	2.518550e+00
1.810000	2.551890e+00
1.820000	2.582920e+00
1.830000	2.611640e+00
1.840000	2.638040e+00
1.850000	2.662130e+00
1.860000	2.683750e+00
1.870000	2.703140e+00
1.880000	2.720300e+00
1.890000	2.735220e+00
1.900000	2.747920e+00
1.910000	2.757920e+00
1.920000	2.765920e+00
1.930000	2.771920e+00
1.940000	2.775920e+00
1.950000	2.777910e+00
1.960000	2.777260e+00
1.970000	2.774930e+00
1.980000	2.770920e+00
1.990000	2.765240e+00
2.000000	2.757880e+00
2.010000	2.748120e+00
2.020000	2.737040e+00
2.030000	2.724660e+00
2.040000	2.710960e+00
2.050000	2.695950e+00
2.060000	2.678920e+00
2.070000	2.660940e+00
2.080000	2.641990e+00
2.090000	2.622080e+00
2.100000	2.601210e+00
2.110000	2.578750e+00
2.120000	2.555640e+00
2.130000	2.531880e+00
2.140000	2.507480e+00
2.150000	2.482430e+00
2.160000	2.456210e+00
2.170000	2.429600e+00
2.180000	2.402620e+00
2.190000	2.375260e+00
2.200000	2.347520e+00
2.210000	2.318970e+00
2.220000	2.290260e+00
2.230000	2.261390e+00
2.240000	2.232360e+00
2.250000	2.203170e+00
2.260000	2.173480e+00
2.270000	2.143800e+00
2.280000	2.114120e+00
2.290000	2.084450e+00
2.300000	2.054790e+00
2.310000	2.024890e+00
2.320000	1.995120e+00
2.330000	1.965480e+00
2.340000	1.935970e+00
2.350000	1.906590e+00
2.360000	1.877170e+00
2.370000	1.847970e+00
2.380000	1.818990e+00
2.390000	1.790220e+00
2.400000	1.761680e+00
2.410000	1.733240e+00
2.420000	1.705080e+00
2.430000	1.677190e+00
2.440000	1.649580e+00
2.450000	1.622260e+00
2.460000	1.595130e+00
2.470000	1.568320e+00
2.480000	1.541830e+00
2.490000	1.515640e+00
2.500000	1.489770e+00
2.510000	1.464180e+00
2.520000	1.438920e+00
2.530000	1.413990e+00
2.540000	1.389390e+00
2.550000	1.365110e+00
2.560000	1.341160e+00
2.570000	1.317550e+00
2.580000	1.294270e+00
2.590000	1.271320e+00
2.600000	1.248710e+00
2.610000	1.226440e+00
2.620000	1.204500e+00
2.630000	1.182890e+00
2.640000	1.161610e+00
2.650000	1.140660e+00
2.660000	1.120080e+00
2.670000	1.099810e+00
2.680000	1.079860e+00
2.690000	1.060220e+00
2.700000	1.040910e+00
2.710000	1.021940e+00
2.720000	1.003280e+00
2.730000	9.849160e-01
2.740000	9.668520e-01
2.750000	9.490880e-01
