# E(GeV)	-Im_Tmatrix(GeV^-2)
0.000000	9.297230e-05
0.010000	9.721900e-05
0.020000	1.014660e-04
0.030000	1.057120e-04
0.040000	1.099590e-04
0.050000	1.142060e-04
0.060000	1.200770e-04
0.070000	1.264250e-04
0.080000	1.332500e-04
0.090000	1.405510e-04
0.100000	1.483290e-04
0.110000	1.563270e-04
0.120000	1.649300e-04
0.130000	1.741370e-04
0.140000	1.839500e-04
0.150000	1.943680e-04
0.160000	2.048930e-04
0.170000	2.162710e-04
0.180000	2.285040e-04
0.190000	2.415900e-04
0.200000	2.555300e-04
0.210000	2.697470e-04
0.220000	2.851070e-04
0.230000	3.016080e-04
0.240000	3.192520e-04
0.250000	3.380380e-04
0.260000	3.573930e-04
0.270000	3.781770e-04
0.280000	4.003900e-04
0.290000	4.240320e-04
0.300000	4.491020e-04
0.310000	4.746580e-04
0.320000	5.021150e-04
0.330000	5.314720e-04
0.340000	5.627300e-04
0.350000	5.958880e-04
0.360000	6.293620e-04
0.370000	6.655290e-04
0.380000	7.043890e-04
0.390000	7.459430e-04
0.400000	7.901900e-04
0.410000	8.357360e-04
0.420000	8.846730e-04
0.430000	9.370000e-04
0.440000	9.927180e-04
0.450000	1.051830e-03
0.460000	1.111890e-03
0.470000	1.176560e-03
0.480000	1.245840e-03
0.490000	1.319730e-03
0.500000	1.398220e-03
0.510000	1.477660e-03
0.520000	1.563530e-03
0.530000	1.655850e-03
0.540000	1.754600e-03
0.550000	1.859800e-03
0.560000	1.966570e-03
0.570000	2.082220e-03
0.580000	2.206730e-03
0.590000	2.340110e-03
0.600000	2.482350e-03
0.610000	2.626970e-03
0.620000	2.783700e-03
0.630000	2.952550e-03
0.640000	3.133510e-03
0.650000	3.326590e-03
0.660000	3.521730e-03
0.670000	3.734020e-03
0.680000	3.963440e-03
0.690000	4.210000e-03
0.700000	4.473700e-03
0.710000	4.740040e-03
0.720000	5.030760e-03
0.730000	5.345870e-03
0.740000	5.685360e-03
0.750000	6.049250e-03
0.760000	6.415840e-03
0.770000	6.817660e-03
0.780000	7.254710e-03
0.790000	7.726990e-03
0.800000	8.234510e-03
0.810000	8.748490e-03
0.820000	9.312090e-03
0.830000	9.925290e-03
0.840000	1.058810e-02
0.850000	1.130050e-02
0.860000	1.201920e-02
0.870000	1.280910e-02
0.880000	1.367040e-02
0.890000	1.460290e-02
0.900000	1.560680e-02
0.910000	1.661120e-02
0.920000	1.772230e-02
0.930000	1.894000e-02
0.940000	2.026440e-02
0.950000	2.169550e-02
0.960000	2.313650e-02
0.970000	2.473250e-02
0.980000	2.648360e-02
0.990000	2.838950e-02
1.000000	3.045050e-02
1.010000	3.251880e-02
1.020000	3.481590e-02
1.030000	3.734180e-02
1.040000	4.009660e-02
1.050000	4.308010e-02
1.060000	4.607070e-02
1.070000	4.940100e-02
1.080000	5.307110e-02
1.090000	5.708090e-02
1.100000	6.143040e-02
1.110000	6.577690e-02
1.120000	7.063450e-02
1.130000	7.600320e-02
1.140000	8.188310e-02
1.150000	8.827400e-02
1.160000	9.466690e-02
1.170000	1.018250e-01
1.180000	1.097500e-01
1.190000	1.184400e-01
1.200000	1.278960e-01
1.210000	1.373790e-01
1.220000	1.479970e-01
1.230000	1.597500e-01
1.240000	1.726380e-01
1.250000	1.866600e-01
1.260000	2.007600e-01
1.270000	2.165240e-01
1.280000	2.339510e-01
1.290000	2.530410e-01
1.300000	2.737950e-01
1.310000	2.948090e-01
1.320000	3.181880e-01
1.330000	3.439310e-01
1.340000	3.720400e-01
1.350000	4.025140e-01
1.360000	4.336520e-01
1.370000	4.680060e-01
1.380000	5.055740e-01
1.390000	5.463560e-01
1.400000	5.903530e-01
1.410000	6.358310e-01
1.420000	6.853900e-01
1.430000	7.390300e-01
1.440000	7.967530e-01
1.450000	8.585580e-01
1.460000	9.232340e-01
1.470000	9.925970e-01
1.480000	1.066650e+00
1.490000	1.145380e+00
1.500000	1.228810e+00
1.510000	1.317010e+00
1.520000	1.409850e+00
1.530000	1.507340e+00
1.540000	1.609470e+00
1.550000	1.716240e+00
1.560000	1.829820e+00
1.570000	1.946960e+00
1.580000	2.067660e+00
1.590000	2.191910e+00
1.600000	2.319720e+00
1.610000	2.455420e+00
1.620000	2.592510e+00
1.630000	2.731000e+00
1.640000	2.870870e+00
1.650000	3.012140e+00
1.660000	3.160550e+00
1.670000	3.307470e+00
1.680000	3.452910e+00
1.690000	3.596870e+00
1.700000	3.739340e+00
1.710000	3.885830e+00
1.720000	4.028090e+00
1.730000	4.166100e+00
1.740000	4.299870e+00
1.750000	4.429400e+00
1.760000	4.558580e+00
1.770000	4.681580e+00
1.780000	4.798390e+00
1.790000	4.909010e+00
1.800000	5.013450e+00
1.810000	5.113160e+00
1.820000	5.205950e+00
1.830000	5.291840e+00
1.840000	5.370830e+00
1.850000	5.442910e+00
1.860000	5.507310e+00
1.870000	5.565200e+00
1.880000	5.616560e+00
1.890000	5.661400e+00
1.900000	5.699720e+00
1.910000	5.729430e+00
1.920000	5.753660e+00
1.930000	5.772410e+00
1.940000	5.785690e+00
1.950000	5.793480e+00
1.960000	5.793200e+00
1.970000	5.788730e+00
1.980000	5.780090e+00
1.990000	5.767270e+00
2.000000	5.750280e+00
2.010000	5.726560e+00
2.020000	5.699940e+00
2.030000	5.670410e+00
2.040000	5.637980e+00
2.050000	5.602640e+00
2.060000	5.562260e+00
2.070000	5.520040e+00
2.080000	5.475990e+00
2.090000	5.430110e+00
2.100000	5.382400e+00
2.110000	5.331180e+00
2.120000	5.278970e+00
