# E(GeV)	-Im_Tmatrix(GeV^-2)
0.000000	-2.460830e-23
0.010000	1.452910e-07
0.020000	2.905830e-07
0.030000	4.358740e-07
0.040000	5.811660e-07
0.050000	7.264570e-07
0.060000	9.168400e-07
0.070000	1.136900e-06
0.080000	1.386630e-06
0.090000	1.666040e-06
0.100000	1.975130e-06
0.110000	2.288400e-06
0.120000	2.644090e-06
0.130000	3.042200e-06
0.140000	3.482730e-06
0.150000	3.965680e-06
0.160000	4.443540e-06
0.170000	4.987580e-06
0.180000	5.597790e-06
0.190000	6.274160e-06
0.200000	7.016710e-06
0.210000	7.729220e-06
0.220000	8.556000e-06
0.230000	9.497070e-06
0.240000	1.055240e-05
0.250000	1.172200e-05
0.260000	1.282550e-05
0.270000	1.413350e-05
0.280000	1.564590e-05
0.290000	1.736280e-05
0.300000	1.928420e-05
0.310000	2.106850e-05
0.320000	2.322800e-05
0.330000	2.576280e-05
0.340000	2.867280e-05
0.350000	3.195810e-05
0.360000	3.496730e-05
0.370000	3.867740e-05
0.380000	4.308840e-05
0.390000	4.820030e-05
0.400000	5.401310e-05
0.410000	5.945210e-05
0.420000	6.612930e-05
0.430000	7.404480e-05
0.440000	8.319850e-05
0.450000	9.359050e-05
0.460000	1.035640e-04
0.470000	1.156040e-04
0.480000	1.297110e-04
0.490000	1.458850e-04
0.500000	1.641240e-04
0.510000	1.819770e-04
0.520000	2.031230e-04
0.530000	2.275630e-04
0.540000	2.552960e-04
0.550000	2.863220e-04
0.560000	3.167540e-04
0.570000	3.524240e-04
0.580000	3.933300e-04
0.590000	4.394740e-04
0.600000	4.908560e-04
0.610000	5.416800e-04
0.620000	6.006390e-04
0.630000	6.677320e-04
0.640000	7.429600e-04
0.650000	8.263220e-04
0.660000	9.087200e-04
0.670000	1.003800e-03
0.680000	1.111570e-03
0.690000	1.232020e-03
0.700000	1.365150e-03
0.710000	1.496380e-03
0.720000	1.647590e-03
0.730000	1.818780e-03
0.740000	2.009940e-03
0.750000	2.221080e-03
0.760000	2.427680e-03
0.770000	2.666520e-03
0.780000	2.937590e-03
0.790000	3.240900e-03
0.800000	3.576460e-03
0.810000	3.903210e-03
0.820000	4.282720e-03
0.830000	4.714990e-03
0.840000	5.200000e-03
0.850000	5.737780e-03
0.860000	6.267550e-03
0.870000	6.880460e-03
0.880000	7.576490e-03
0.890000	8.355660e-03
0.900000	9.217950e-03
0.910000	1.005670e-02
0.920000	1.103190e-02
0.930000	1.214360e-02
0.940000	1.339170e-02
0.950000	1.477630e-02
0.960000	1.613670e-02
0.970000	1.771390e-02
0.980000	1.950800e-02
0.990000	2.151890e-02
1.000000	2.374660e-02
1.010000	2.592470e-02
1.020000	2.845280e-02
1.030000	3.133100e-02
1.040000	3.455930e-02
1.050000	3.813770e-02
1.060000	4.161830e-02
1.070000	4.567290e-02
1.080000	5.030150e-02
1.090000	5.550390e-02
1.100000	6.128040e-02
1.110000	6.691550e-02
1.120000	7.348220e-02
1.130000	8.098040e-02
1.140000	8.941020e-02
1.150000	9.877160e-02
1.160000	1.078900e-01
1.170000	1.185270e-01
1.180000	1.306830e-01
1.190000	1.443580e-01
1.200000	1.595520e-01
1.210000	1.743000e-01
1.220000	1.915490e-01
1.230000	2.113000e-01
1.240000	2.335520e-01
1.250000	2.583050e-01
1.260000	2.824210e-01
1.270000	3.106080e-01
1.280000	3.428650e-01
1.290000	3.791940e-01
1.300000	4.195940e-01
1.310000	4.589020e-01
1.320000	5.048630e-01
1.330000	5.574770e-01
1.340000	6.167430e-01
1.350000	6.826620e-01
1.360000	7.470960e-01
1.370000	8.222510e-01
1.380000	9.081290e-01
1.390000	1.004730e+00
1.400000	1.112050e+00
1.410000	1.217530e+00
1.420000	1.340020e+00
1.430000	1.479510e+00
1.440000	1.636000e+00
1.450000	1.809490e+00
1.460000	1.981720e+00
1.470000	2.180080e+00
1.480000	2.404580e+00
1.490000	2.655200e+00
1.500000	2.931950e+00
1.510000	3.211090e+00
1.520000	3.528230e+00
1.530000	3.883370e+00
1.540000	4.276520e+00
1.550000	4.707660e+00
1.560000	5.153150e+00
1.570000	5.648470e+00
1.580000	6.193610e+00
1.590000	6.788580e+00
1.600000	7.433370e+00
1.610000	8.121610e+00
1.620000	8.862870e+00
1.630000	9.657140e+00
1.640000	1.050440e+01
1.650000	1.140470e+01
1.660000	1.240150e+01
1.670000	1.342960e+01
1.680000	1.448890e+01
1.690000	1.557960e+01
1.700000	1.670150e+01
1.710000	1.796830e+01
1.720000	1.920960e+01
1.730000	2.042550e+01
1.740000	2.161580e+01
1.750000	2.278070e+01
1.760000	2.405490e+01
1.770000	2.523620e+01
1.780000	2.632460e+01
1.790000	2.732030e+01
1.800000	2.822300e+01
1.810000	2.908810e+01
1.820000	2.983270e+01
1.830000	3.045690e+01
1.840000	3.096080e+01
1.850000	3.134420e+01
1.860000	3.155170e+01
1.870000	3.166660e+01
1.880000	3.168880e+01
1.890000	3.161840e+01
1.900000	3.145540e+01
1.910000	3.110390e+01
1.920000	3.070780e+01
1.930000	3.026690e+01
1.940000	2.978140e+01
1.950000	2.925110e+01
1.960000	2.860240e+01
1.970000	2.794590e+01
1.980000	2.728170e+01
1.990000	2.660960e+01
2.000000	2.592980e+01
2.010000	2.520400e+01
2.020000	2.448950e+01
2.030000	2.378640e+01
2.040000	2.309470e+01
2.050000	2.241430e+01
2.060000	2.173170e+01
2.070000	2.106720e+01
2.080000	2.042090e+01
2.090000	1.979270e+01
2.100000	1.918270e+01
2.110000	1.858920e+01
2.120000	1.801470e+01
2.130000	1.745920e+01
2.140000	1.692260e+01
2.150000	1.640500e+01
2.160000	1.591000e+01
2.170000	1.543220e+01
2.180000	1.497150e+01
2.190000	1.452790e+01
2.200000	1.410150e+01
2.210000	1.369710e+01
2.220000	1.330740e+01
2.230000	1.293230e+01
2.240000	1.257190e+01
2.250000	1.222620e+01
2.260000	1.190050e+01
2.270000	1.158690e+01
2.280000	1.128520e+01
2.290000	1.099550e+01
2.300000	1.071790e+01
2.310000	1.045690e+01
2.320000	1.020570e+01
2.330000	9.964060e+00
2.340000	9.732140e+00
2.350000	9.509890e+00
2.360000	9.301890e+00
2.370000	9.101280e+00
2.380000	8.908060e+00
2.390000	8.722240e+00
2.400000	8.543820e+00
2.410000	8.376450e+00
2.420000	8.214640e+00
2.430000	8.058400e+00
2.440000	7.907730e+00
2.450000	7.762620e+00
2.460000	7.626330e+00
2.470000	7.493980e+00
2.480000	7.365570e+00
2.490000	7.241100e+00
2.500000	7.120570e+00
2.510000	7.006190e+00
2.520000	6.894640e+00
2.530000	6.785920e+00
2.540000	6.680020e+00
2.550000	6.576950e+00
2.560000	6.478680e+00
2.570000	6.382240e+00
2.580000	6.287650e+00
2.590000	6.194910e+00
2.600000	6.104000e+00
2.610000	6.016100e+00
2.620000	5.929460e+00
2.630000	5.844080e+00
2.640000	5.759960e+00
2.650000	5.677090e+00
2.660000	5.596350e+00
2.670000	5.516430e+00
2.680000	5.437350e+00
2.690000	5.359080e+00
2.700000	5.281650e+00
2.710000	5.205470e+00
2.720000	5.129910e+00
2.730000	5.054960e+00
2.740000	4.980610e+00
2.750000	4.906880e+00
2.760000	4.834030e+00
2.770000	4.761650e+00
2.780000	4.689760e+00
2.790000	4.618340e+00
2.800000	4.547410e+00
2.810000	4.477000e+00
2.820000	4.407040e+00
2.830000	4.337540e+00
2.840000	4.268500e+00
2.850000	4.199920e+00
2.860000	4.131770e+00
2.870000	4.064090e+00
2.880000	3.996870e+00
2.890000	3.930120e+00
2.900000	3.863840e+00
2.910000	3.797930e+00
2.920000	3.732540e+00
2.930000	3.667650e+00
2.940000	3.603270e+00
2.950000	3.539400e+00
2.960000	3.475940e+00
2.970000	3.413040e+00
2.980000	3.350690e+00
2.990000	3.288920e+00
3.000000	3.227700e+00
3.010000	3.166940e+00
3.020000	3.106800e+00
3.030000	3.047270e+00
3.040000	2.988350e+00
3.050000	2.930050e+00
3.060000	2.872260e+00
3.070000	2.815130e+00
3.080000	2.758670e+00
3.090000	2.702880e+00
3.100000	2.647750e+00
3.110000	2.593230e+00
3.120000	2.539410e+00
3.130000	2.486280e+00
3.140000	2.433850e+00
3.150000	2.382120e+00
3.160000	2.331040e+00
3.170000	2.280680e+00
3.180000	2.231050e+00
3.190000	2.182130e+00
3.200000	2.133930e+00
3.210000	2.086440e+00
3.220000	2.039680e+00
3.230000	1.993650e+00
3.240000	1.948350e+00
3.250000	1.903780e+00
3.260000	1.859960e+00
3.270000	1.816870e+00
3.280000	1.774500e+00
3.290000	1.732860e+00
3.300000	1.691940e+00
3.310000	1.651780e+00
3.320000	1.612340e+00
3.330000	1.573600e+00
3.340000	1.535570e+00
3.350000	1.498250e+00
3.360000	1.461700e+00
3.370000	1.425830e+00
3.380000	1.390640e+00
3.390000	1.356140e+00
3.400000	1.322330e+00
3.410000	1.289260e+00
3.420000	1.256850e+00
3.430000	1.225090e+00
3.440000	1.193980e+00
3.450000	1.163520e+00
3.460000	1.133790e+00
3.470000	1.104670e+00
3.480000	1.076170e+00
3.490000	1.048270e+00
3.500000	1.020980e+00
3.510000	9.943850e-01
3.520000	9.683590e-01
3.530000	9.428990e-01
3.540000	9.180070e-01
3.550000	8.936820e-01
3.560000	8.700150e-01
3.570000	8.468690e-01
3.580000	8.242440e-01
3.590000	8.021410e-01
3.600000	7.805580e-01
3.610000	7.595900e-01
3.620000	7.390960e-01
3.630000	7.190770e-01
3.640000	6.995330e-01
3.650000	6.804630e-01
3.660000	6.619790e-01
3.670000	6.439140e-01
3.680000	6.262690e-01
3.690000	6.090430e-01
3.700000	5.922360e-01
3.710000	5.758820e-01
3.720000	5.599310e-01
3.730000	5.443830e-01
3.740000	5.292380e-01
3.750000	5.144950e-01
3.760000	5.002910e-01
3.770000	4.864210e-01
3.780000	4.728880e-01
3.790000	4.596890e-01
3.800000	4.468260e-01
3.810000	4.343580e-01
3.820000	4.221960e-01
3.830000	4.103400e-01
3.840000	3.987890e-01
3.850000	3.875430e-01
3.860000	3.766770e-01
3.870000	3.660800e-01
3.880000	3.557510e-01
3.890000	3.456920e-01
3.900000	3.359010e-01
3.910000	3.264530e-01
3.920000	3.172370e-01
3.930000	3.082540e-01
3.940000	2.995020e-01
3.950000	2.909820e-01
3.960000	2.827210e-01
3.970000	2.746790e-01
3.980000	2.668560e-01
3.990000	2.592510e-01
4.000000	2.518650e-01
4.010000	2.447820e-01
4.020000	2.378760e-01
4.030000	2.311470e-01
4.040000	2.245940e-01
4.050000	2.182170e-01
4.060000	2.120540e-01
4.070000	2.060490e-01
4.080000	2.002020e-01
4.090000	1.945130e-01
4.100000	1.889830e-01
4.110000	1.836550e-01
4.120000	1.784620e-01
4.130000	1.734060e-01
4.140000	1.684860e-01
4.150000	1.637020e-01
4.160000	1.590850e-01
4.170000	1.545880e-01
4.180000	1.502110e-01
4.190000	1.459550e-01
4.200000	1.418200e-01
4.210000	1.378400e-01
4.220000	1.339620e-01
4.230000	1.301880e-01
4.240000	1.265160e-01
4.250000	1.229480e-01
4.260000	1.195100e-01
4.270000	1.161620e-01
4.280000	1.129020e-01
4.290000	1.097300e-01
4.300000	1.066470e-01
4.310000	1.036730e-01
4.320000	1.007770e-01
4.330000	9.795980e-02
4.340000	9.522050e-02
4.350000	9.255940e-02
4.360000	8.999920e-02
4.370000	8.750580e-02
4.380000	8.507930e-02
4.390000	8.271970e-02
4.400000	8.042700e-02
4.410000	7.822190e-02
4.420000	7.607330e-02
4.430000	7.398130e-02
4.440000	7.194590e-02
4.450000	6.996700e-02
4.460000	6.805900e-02
4.470000	6.620040e-02
4.480000	6.439120e-02
4.490000	6.263140e-02
4.500000	6.092100e-02
4.510000	5.927560e-02
4.520000	5.767190e-02
4.530000	5.610970e-02
4.540000	5.458920e-02
4.550000	5.311020e-02
4.560000	5.168010e-02
4.570000	5.028800e-02
4.580000	4.893390e-02
4.590000	4.761780e-02
4.600000	4.633970e-02
4.610000	4.510980e-02
4.620000	4.391280e-02
4.630000	4.274870e-02
4.640000	4.161740e-02
4.650000	4.051910e-02
4.660000	3.947100e-02
4.670000	3.844710e-02
4.680000	3.744740e-02
4.690000	3.647190e-02
4.700000	3.552060e-02
4.710000	3.458580e-02
4.720000	3.367900e-02
4.730000	3.280040e-02
4.740000	3.194980e-02
4.750000	3.112730e-02
4.760000	3.035210e-02
4.770000	2.959540e-02
4.780000	2.885720e-02
4.790000	2.813750e-02
4.800000	2.743630e-02
4.810000	2.677470e-02
4.820000	2.612100e-02
4.830000	2.547530e-02
4.840000	2.483750e-02
4.850000	2.420770e-02
4.860000	2.355130e-02
4.870000	2.292010e-02
4.880000	2.231420e-02
4.890000	2.173350e-02
4.900000	2.117790e-02
4.910000	2.068360e-02
4.920000	2.019650e-02
4.930000	1.971670e-02
4.940000	1.924410e-02
4.950000	1.877870e-02
4.960000	1.829640e-02
4.970000	1.783350e-02
4.980000	1.738990e-02
4.990000	1.696560e-02
5.000000	1.656070e-02
5.010000	1.619040e-02
5.020000	1.583180e-02
5.030000	1.548490e-02
5.040000	1.514970e-02
5.050000	1.482620e-02
5.060000	1.452390e-02
5.070000	1.422850e-02
5.080000	1.394010e-02
5.090000	1.365870e-02
5.100000	1.338420e-02
5.110000	1.311430e-02
5.120000	1.285250e-02
5.130000	1.259890e-02
5.140000	1.235330e-02
5.150000	1.211580e-02
5.160000	1.189540e-02
5.170000	1.167850e-02
5.180000	1.146530e-02
5.190000	1.125570e-02
5.200000	1.104960e-02
5.210000	1.084010e-02
5.220000	1.063770e-02
5.230000	1.044240e-02
5.240000	1.025420e-02
5.250000	1.007310e-02
5.260000	9.908860e-03
5.270000	9.746850e-03
5.280000	9.587090e-03
5.290000	9.429590e-03
5.300000	9.274350e-03
5.310000	9.115090e-03
5.320000	8.961230e-03
5.330000	8.812770e-03
5.340000	8.669700e-03
5.350000	8.532030e-03
5.360000	8.407230e-03
5.370000	8.284080e-03
5.380000	8.162610e-03
5.390000	8.042800e-03
5.400000	7.924650e-03
5.410000	7.804930e-03
5.420000	7.688490e-03
5.430000	7.575340e-03
5.440000	7.465470e-03
5.450000	7.358890e-03
5.460000	7.260250e-03
5.470000	7.162570e-03
5.480000	7.065850e-03
5.490000	6.970100e-03
5.500000	6.875300e-03
5.510000	6.776880e-03
5.520000	6.681710e-03
5.530000	6.589800e-03
5.540000	6.501140e-03
5.550000	6.415740e-03
5.560000	6.339470e-03
5.570000	6.263510e-03
5.580000	6.187870e-03
5.590000	6.112550e-03
5.600000	6.037550e-03
5.610000	5.957590e-03
5.620000	5.880590e-03
5.630000	5.806540e-03
5.640000	5.735440e-03
5.650000	5.667290e-03
5.660000	5.607540e-03
5.670000	5.548020e-03
5.680000	5.488720e-03
5.690000	5.429640e-03
5.700000	5.370790e-03
5.710000	5.308670e-03
5.720000	5.248520e-03
5.730000	5.190330e-03
5.740000	5.134110e-03
5.750000	5.079850e-03
5.760000	5.030470e-03
5.770000	4.981600e-03
5.780000	4.933220e-03
5.790000	4.885350e-03
5.800000	4.837980e-03
5.810000	4.790030e-03
5.820000	4.743120e-03
5.830000	4.697250e-03
5.840000	4.652440e-03
5.850000	4.608680e-03
5.860000	4.566740e-03
5.870000	4.525460e-03
5.880000	4.484840e-03
5.890000	4.444880e-03
5.900000	4.405580e-03
5.910000	4.366870e-03
5.920000	4.328850e-03
5.930000	4.291530e-03
5.940000	4.254900e-03
5.950000	4.218970e-03
5.960000	4.183920e-03
5.970000	4.149470e-03
5.980000	4.115620e-03
5.990000	4.082370e-03
6.000000	4.049710e-03
6.010000	4.017810e-03
6.020000	3.986430e-03
6.030000	3.955570e-03
6.040000	3.925230e-03
6.050000	3.895410e-03
6.060000	3.866090e-03
6.070000	3.837290e-03
6.080000	3.809030e-03
6.090000	3.781290e-03
6.100000	3.754080e-03
6.110000	3.727860e-03
6.120000	3.701940e-03
6.130000	3.676310e-03
6.140000	3.650960e-03
6.150000	3.625910e-03
6.160000	3.600950e-03
6.170000	3.576370e-03
6.180000	3.552190e-03
6.190000	3.528380e-03
6.200000	3.504960e-03
6.210000	3.482040e-03
6.220000	3.459450e-03
6.230000	3.437180e-03
6.240000	3.415250e-03
6.250000	3.393640e-03
6.260000	3.373360e-03
6.270000	3.352910e-03
6.280000	3.332280e-03
6.290000	3.311470e-03
6.300000	3.290490e-03
6.310000	3.266880e-03
6.320000	3.244320e-03
6.330000	3.222810e-03
6.340000	3.202360e-03
6.350000	3.182960e-03
6.360000	3.167180e-03
6.370000	3.151170e-03
6.380000	3.134940e-03
6.390000	3.118480e-03
6.400000	3.101790e-03
6.410000	3.083950e-03
6.420000	3.066350e-03
6.430000	3.048990e-03
6.440000	3.031860e-03
6.450000	3.014970e-03
6.460000	2.998580e-03
6.470000	2.982290e-03
6.480000	2.966110e-03
6.490000	2.950040e-03
6.500000	2.934070e-03
6.510000	2.918100e-03
6.520000	2.902290e-03
6.530000	2.886630e-03
6.540000	2.871130e-03
6.550000	2.855780e-03
6.560000	2.840750e-03
6.570000	2.825790e-03
6.580000	2.810910e-03
6.590000	2.796110e-03
6.600000	2.781390e-03
6.610000	2.766730e-03
6.620000	2.752160e-03
6.630000	2.737670e-03
6.640000	2.723270e-03
6.650000	2.708960e-03
6.660000	2.694850e-03
6.670000	2.680760e-03
6.680000	2.666710e-03
6.690000	2.652700e-03
6.700000	2.638710e-03
6.710000	2.624710e-03
6.720000	2.610760e-03
6.730000	2.596870e-03
6.740000	2.583030e-03
6.750000	2.569250e-03
6.760000	2.555350e-03
6.770000	2.541590e-03
6.780000	2.527970e-03
6.790000	2.514490e-03
6.800000	2.501140e-03
6.810000	2.488020e-03
6.820000	2.475000e-03
6.830000	2.462060e-03
6.840000	2.449210e-03
6.850000	2.436440e-03
6.860000	2.423510e-03
6.870000	2.410790e-03
6.880000	2.398280e-03
6.890000	2.385990e-03
6.900000	2.373920e-03
6.910000	2.362320e-03
6.920000	2.350810e-03
6.930000	2.339380e-03
6.940000	2.328030e-03
6.950000	2.316760e-03
6.960000	2.305480e-03
6.970000	2.294330e-03
6.980000	2.283310e-03
6.990000	2.272420e-03
7.000000	2.261660e-03
7.010000	2.251730e-03
7.020000	2.241580e-03
7.030000	2.231210e-03
7.040000	2.220620e-03
7.050000	2.209810e-03
7.060000	2.196890e-03
7.070000	2.184700e-03
7.080000	2.173220e-03
7.090000	2.162460e-03
7.100000	2.152420e-03
7.110000	2.145620e-03
7.120000	2.138280e-03
7.130000	2.130400e-03
7.140000	2.121970e-03
7.150000	2.113000e-03
7.160000	2.101040e-03
7.170000	2.089760e-03
7.180000	2.079170e-03
7.190000	2.069260e-03
7.200000	2.060020e-03
7.210000	2.053870e-03
7.220000	2.047210e-03
7.230000	2.040020e-03
7.240000	2.032320e-03
7.250000	2.024100e-03
7.260000	2.013040e-03
7.270000	2.002630e-03
7.280000	1.992860e-03
7.290000	1.983730e-03
7.300000	1.975250e-03
7.310000	1.969700e-03
7.320000	1.963660e-03
7.330000	1.957110e-03
7.340000	1.950060e-03
7.350000	1.942520e-03
7.360000	1.932740e-03
7.370000	1.923330e-03
7.380000	1.914280e-03
7.390000	1.905600e-03
7.400000	1.897280e-03
7.410000	1.889520e-03
7.420000	1.882030e-03
7.430000	1.874810e-03
7.440000	1.867850e-03
7.450000	1.861160e-03
7.460000	1.855650e-03
7.470000	1.849950e-03
7.480000	1.844070e-03
7.490000	1.837990e-03
7.500000	1.831730e-03
7.510000	1.824950e-03
7.520000	1.818150e-03
7.530000	1.811320e-03
7.540000	1.804460e-03
7.550000	1.797590e-03
7.560000	1.790550e-03
7.570000	1.783550e-03
7.580000	1.776600e-03
7.590000	1.769680e-03
7.600000	1.762820e-03
7.610000	1.756090e-03
7.620000	1.749360e-03
7.630000	1.742620e-03
7.640000	1.735880e-03
7.650000	1.729130e-03
7.660000	1.722230e-03
7.670000	1.715400e-03
7.680000	1.708640e-03
7.690000	1.701940e-03
7.700000	1.695300e-03
7.710000	1.688780e-03
7.720000	1.682290e-03
7.730000	1.675850e-03
7.740000	1.669460e-03
7.750000	1.663100e-03
7.760000	1.656790e-03
7.770000	1.650530e-03
7.780000	1.644300e-03
7.790000	1.638120e-03
7.800000	1.631990e-03
7.810000	1.625960e-03
7.820000	1.619940e-03
7.830000	1.613930e-03
7.840000	1.607940e-03
7.850000	1.601950e-03
7.860000	1.595960e-03
7.870000	1.589980e-03
7.880000	1.584040e-03
7.890000	1.578110e-03
7.900000	1.572210e-03
7.910000	1.566370e-03
7.920000	1.560540e-03
7.930000	1.554720e-03
7.940000	1.548900e-03
7.950000	1.543090e-03
7.960000	1.537220e-03
7.970000	1.531400e-03
7.980000	1.525610e-03
7.990000	1.519850e-03
8.000000	1.514140e-03
