# P(GeV)	Gamma(GeV)
0.100000	1.944110e-01
0.600000	1.951120e-01
1.100000	1.965160e-01
1.600000	1.981810e-01
2.100000	2.014840e-01
2.600000	2.057840e-01
3.100000	2.082100e-01
3.600000	2.113100e-01
4.100000	2.152420e-01
4.600000	2.210010e-01
5.100000	2.238540e-01
5.600000	2.296740e-01
6.100000	2.316980e-01
6.600000	2.365840e-01
7.100000	2.382900e-01
7.600000	2.416460e-01
8.100000	2.431330e-01
8.600000	2.451230e-01
9.100000	2.444210e-01
9.600000	2.465510e-01
10.000000	2.461160e-01
11.000000	2.439890e-01
12.000000	2.426350e-01
13.000000	2.394190e-01
14.000000	2.349420e-01
15.000000	2.296500e-01
16.000000	2.234410e-01
17.000000	2.190930e-01
18.000000	2.111880e-01
19.000000	2.060920e-01
20.000000	1.982740e-01
21.000000	1.926300e-01
22.000000	1.859630e-01
23.000000	1.806840e-01
24.000000	1.744860e-01
25.000000	1.683520e-01
26.000000	1.632710e-01
27.000000	1.581730e-01
28.000000	1.532440e-01
29.000000	1.489570e-01
30.000000	1.434890e-01
31.000000	1.392890e-01
32.000000	1.349080e-01
33.000000	1.309700e-01
34.000000	1.273190e-01
35.000000	1.239560e-01
36.000000	1.202580e-01
37.000000	1.170830e-01
38.000000	1.135830e-01
39.000000	1.104540e-01
40.000000	1.082680e-01
