# T(MeV)	Gamma(MeV)
170.0	2.958850e-01
175.0	4.064120e-01
180.0	5.529210e-01
185.0	7.463070e-01
190.0	1.000188e+00
195.0	1.332486e+00
200.0	1.766278e+00
205.0	2.331527e+00
210.0	3.067656e+00
215.0	4.026128e+00
220.0	5.094410e+00
225.0	6.375718e+00
230.0	7.963519e+00
235.0	9.930924e+00
240.0	1.236896e+01
245.0	1.496771e+01
250.0	1.733880e+01
255.0	2.004162e+01
260.0	2.311716e+01
265.0	2.661000e+01
270.0	3.056847e+01
275.0	3.407852e+01
280.0	3.791355e+01
285.0	4.209350e+01
290.0	4.663843e+01
295.0	5.156683e+01
300.0	5.689592e+01
305.0	6.263958e+01
310.0	6.880872e+01
315.0	7.540865e+01
320.0	8.050980e+01
325.0	8.580347e+01
330.0	9.128322e+01
335.0	9.693915e+01
340.0	1.027608e+02
345.0	1.087337e+02
350.0	1.148428e+02
355.0	1.210693e+02
360.0	1.273941e+02
365.0	1.314786e+02
370.0	1.355742e+02
375.0	1.396829e+02
380.0	1.437952e+02
385.0	1.479101e+02
390.0	1.520305e+02
395.0	1.561425e+02
400.0	1.602488e+02
405.0	1.643539e+02
410.0	1.684398e+02
415.0	1.725115e+02
420.0	1.765778e+02
425.0	1.806164e+02
430.0	1.846348e+02
435.0	1.886314e+02
440.0	1.926204e+02
445.0	1.965708e+02
450.0	2.004966e+02
455.0	2.044206e+02
460.0	2.082987e+02
465.0	2.121536e+02
470.0	2.159802e+02
475.0	2.198034e+02
480.0	2.235908e+02
485.0	2.273504e+02
490.0	2.310896e+02
495.0	2.348407e+02
500.0	2.385505e+02
505.0	2.422449e+02
510.0	2.459314e+02
515.0	2.496169e+02
520.0	2.532755e+02
525.0	2.569388e+02
530.0	2.606095e+02
535.0	2.642732e+02
540.0	2.679234e+02
545.0	2.707876e+02
550.0	2.736524e+02
555.0	2.765155e+02
560.0	2.793677e+02
565.0	2.822154e+02
570.0	2.850584e+02
575.0	2.878982e+02
580.0	2.907326e+02
585.0	2.935654e+02
590.0	2.963773e+02
595.0	2.991986e+02
600.0	3.020176e+02
605.0	3.048222e+02
610.0	3.076198e+02
615.0	3.104098e+02
620.0	3.131946e+02
625.0	3.159690e+02
630.0	3.187402e+02
635.0	3.214979e+02
640.0	3.242469e+02
645.0	3.269925e+02
650.0	3.297163e+02
655.0	3.324346e+02
660.0	3.351420e+02
665.0	3.378372e+02
670.0	3.405214e+02
675.0	3.431937e+02
680.0	3.458532e+02
685.0	3.485014e+02
690.0	3.511374e+02
695.0	3.537597e+02
700.0	3.563704e+02
705.0	3.589650e+02
710.0	3.615523e+02
715.0	3.641037e+02
720.0	3.666622e+02
