# E(GeV)	Re_Tmatrix(GeV^-2)
0.000000	-3.174920e+01
0.010000	-3.176690e+01
0.020000	-3.178460e+01
0.030000	-3.180230e+01
0.040000	-3.182000e+01
0.050000	-3.183780e+01
0.060000	-3.185590e+01
0.070000	-3.187410e+01
0.080000	-3.189260e+01
0.090000	-3.191130e+01
0.100000	-3.193020e+01
0.110000	-3.194940e+01
0.120000	-3.196880e+01
0.130000	-3.198830e+01
0.140000	-3.200790e+01
0.150000	-3.202770e+01
0.160000	-3.204750e+01
0.170000	-3.206750e+01
0.180000	-3.208770e+01
0.190000	-3.210810e+01
0.200000	-3.212870e+01
0.210000	-3.214930e+01
0.220000	-3.217020e+01
0.230000	-3.219130e+01
0.240000	-3.221270e+01
0.250000	-3.223420e+01
0.260000	-3.225610e+01
0.270000	-3.227810e+01
0.280000	-3.230040e+01
0.290000	-3.232280e+01
0.300000	-3.234550e+01
0.310000	-3.236820e+01
0.320000	-3.239120e+01
0.330000	-3.241450e+01
0.340000	-3.243810e+01
0.350000	-3.246190e+01
0.360000	-3.248610e+01
0.370000	-3.251060e+01
0.380000	-3.253530e+01
0.390000	-3.256030e+01
0.400000	-3.258540e+01
0.410000	-3.261060e+01
0.420000	-3.263620e+01
0.430000	-3.266200e+01
0.440000	-3.268820e+01
0.450000	-3.271470e+01
0.460000	-3.274150e+01
0.470000	-3.276860e+01
0.480000	-3.279600e+01
0.490000	-3.282370e+01
0.500000	-3.285180e+01
0.510000	-3.288000e+01
0.520000	-3.290860e+01
0.530000	-3.293750e+01
0.540000	-3.296670e+01
0.550000	-3.299630e+01
0.560000	-3.302620e+01
0.570000	-3.305650e+01
0.580000	-3.308710e+01
0.590000	-3.311810e+01
0.600000	-3.314940e+01
0.610000	-3.318090e+01
0.620000	-3.321290e+01
0.630000	-3.324530e+01
0.640000	-3.327820e+01
0.650000	-3.331150e+01
0.660000	-3.334530e+01
0.670000	-3.337950e+01
0.680000	-3.341420e+01
0.690000	-3.344930e+01
0.700000	-3.348480e+01
0.710000	-3.352060e+01
0.720000	-3.355700e+01
0.730000	-3.359380e+01
0.740000	-3.363110e+01
0.750000	-3.366880e+01
0.760000	-3.370700e+01
0.770000	-3.374570e+01
0.780000	-3.378490e+01
0.790000	-3.382480e+01
0.800000	-3.386510e+01
0.810000	-3.390590e+01
0.820000	-3.394740e+01
0.830000	-3.398940e+01
0.840000	-3.403210e+01
0.850000	-3.407540e+01
0.860000	-3.411930e+01
0.870000	-3.416380e+01
0.880000	-3.420900e+01
0.890000	-3.425490e+01
0.900000	-3.430160e+01
0.910000	-3.434870e+01
0.920000	-3.439660e+01
0.930000	-3.444540e+01
0.940000	-3.449490e+01
0.950000	-3.454520e+01
0.960000	-3.459600e+01
0.970000	-3.464780e+01
0.980000	-3.470050e+01
0.990000	-3.475410e+01
1.000000	-3.480850e+01
1.010000	-3.486370e+01
1.020000	-3.491990e+01
1.030000	-3.497710e+01
1.040000	-3.503530e+01
1.050000	-3.509450e+01
1.060000	-3.515450e+01
1.070000	-3.521560e+01
1.080000	-3.527790e+01
1.090000	-3.534140e+01
1.100000	-3.540610e+01
1.110000	-3.547160e+01
1.120000	-3.553860e+01
1.130000	-3.560680e+01
1.140000	-3.567650e+01
1.150000	-3.574740e+01
1.160000	-3.581920e+01
1.170000	-3.589260e+01
1.180000	-3.596760e+01
1.190000	-3.604430e+01
1.200000	-3.612270e+01
1.210000	-3.620220e+01
1.220000	-3.628360e+01
1.230000	-3.636690e+01
1.240000	-3.645210e+01
1.250000	-3.653920e+01
1.260000	-3.662730e+01
1.270000	-3.671770e+01
1.280000	-3.681050e+01
1.290000	-3.690550e+01
1.300000	-3.700280e+01
1.310000	-3.710150e+01
1.320000	-3.720300e+01
1.330000	-3.730710e+01
1.340000	-3.741400e+01
1.350000	-3.752360e+01
1.360000	-3.763480e+01
1.370000	-3.774930e+01
1.380000	-3.786710e+01
1.390000	-3.798810e+01
1.400000	-3.811250e+01
1.410000	-3.823870e+01
1.420000	-3.836890e+01
1.430000	-3.850320e+01
1.440000	-3.864160e+01
1.450000	-3.878400e+01
1.460000	-3.892850e+01
1.470000	-3.907800e+01
1.480000	-3.923260e+01
1.490000	-3.939210e+01
1.500000	-3.955670e+01
1.510000	-3.972390e+01
1.520000	-3.989740e+01
1.530000	-4.007700e+01
1.540000	-4.026280e+01
1.550000	-4.045490e+01
1.560000	-4.065010e+01
1.570000	-4.085300e+01
1.580000	-4.106370e+01
1.590000	-4.128220e+01
1.600000	-4.150840e+01
1.610000	-4.173860e+01
1.620000	-4.197850e+01
1.630000	-4.222800e+01
1.640000	-4.248710e+01
1.650000	-4.275590e+01
1.660000	-4.302960e+01
1.670000	-4.331520e+01
1.680000	-4.361300e+01
1.690000	-4.392290e+01
1.700000	-4.424480e+01
1.710000	-4.457350e+01
1.720000	-4.491690e+01
1.730000	-4.527500e+01
1.740000	-4.564790e+01
1.750000	-4.603550e+01
1.760000	-4.643320e+01
1.770000	-4.684800e+01
1.780000	-4.727970e+01
1.790000	-4.772860e+01
1.800000	-4.819450e+01
1.810000	-4.867580e+01
1.820000	-4.917490e+01
1.830000	-4.969190e+01
1.840000	-5.022680e+01
1.850000	-5.077950e+01
1.860000	-5.136070e+01
1.870000	-5.195440e+01
1.880000	-5.256070e+01
1.890000	-5.317950e+01
1.900000	-5.381100e+01
1.910000	-5.449580e+01
1.920000	-5.517280e+01
1.930000	-5.584200e+01
1.940000	-5.650350e+01
1.950000	-5.715720e+01
1.960000	-5.790870e+01
1.970000	-5.859970e+01
1.980000	-5.923010e+01
1.990000	-5.980000e+01
2.000000	-6.030940e+01
2.010000	-6.095090e+01
2.020000	-6.143550e+01
2.030000	-6.176330e+01
2.040000	-6.193430e+01
2.050000	-6.194840e+01
2.060000	-6.198840e+01
2.070000	-6.178030e+01
2.080000	-6.132390e+01
2.090000	-6.061930e+01
2.100000	-5.966650e+01
2.110000	-5.835130e+01
2.120000	-5.684510e+01
2.130000	-5.514760e+01
2.140000	-5.325910e+01
2.150000	-5.117940e+01
2.160000	-4.847880e+01
2.170000	-4.580200e+01
2.180000	-4.314890e+01
2.190000	-4.051950e+01
2.200000	-3.791380e+01
2.210000	-3.503540e+01
2.220000	-3.232890e+01
2.230000	-2.979440e+01
2.240000	-2.743180e+01
2.250000	-2.524110e+01
2.260000	-2.322400e+01
2.270000	-2.137800e+01
2.280000	-1.970310e+01
2.290000	-1.819940e+01
2.300000	-1.686680e+01
2.310000	-1.582640e+01
2.320000	-1.489660e+01
2.330000	-1.407750e+01
2.340000	-1.336880e+01
2.350000	-1.277080e+01
2.360000	-1.238370e+01
2.370000	-1.205710e+01
2.380000	-1.179080e+01
2.390000	-1.158490e+01
2.400000	-1.143940e+01
2.410000	-1.141730e+01
2.420000	-1.142410e+01
2.430000	-1.145980e+01
2.440000	-1.152440e+01
2.450000	-1.161790e+01
2.460000	-1.177380e+01
2.470000	-1.194180e+01
2.480000	-1.212200e+01
2.490000	-1.231430e+01
2.500000	-1.251870e+01
2.510000	-1.275400e+01
2.520000	-1.299210e+01
2.530000	-1.323280e+01
2.540000	-1.347640e+01
2.550000	-1.372260e+01
2.560000	-1.398180e+01
2.570000	-1.423870e+01
2.580000	-1.449310e+01
2.590000	-1.474520e+01
2.600000	-1.499480e+01
2.610000	-1.524810e+01
2.620000	-1.549600e+01
2.630000	-1.573850e+01
2.640000	-1.597550e+01
2.650000	-1.620710e+01
2.660000	-1.643660e+01
2.670000	-1.665900e+01
2.680000	-1.687430e+01
2.690000	-1.708230e+01
2.700000	-1.728320e+01
2.710000	-1.747850e+01
2.720000	-1.766580e+01
2.730000	-1.784520e+01
2.740000	-1.801660e+01
2.750000	-1.817990e+01
2.760000	-1.833540e+01
2.770000	-1.848280e+01
2.780000	-1.862220e+01
2.790000	-1.875370e+01
2.800000	-1.887710e+01
2.810000	-1.899170e+01
2.820000	-1.909880e+01
2.830000	-1.919820e+01
2.840000	-1.929000e+01
2.850000	-1.937420e+01
2.860000	-1.944850e+01
2.870000	-1.951630e+01
2.880000	-1.957770e+01
2.890000	-1.963260e+01
2.900000	-1.968100e+01
2.910000	-1.972050e+01
2.920000	-1.975470e+01
2.930000	-1.978390e+01
2.940000	-1.980780e+01
2.950000	-1.982660e+01
2.960000	-1.983760e+01
2.970000	-1.984480e+01
2.980000	-1.984810e+01
2.990000	-1.984760e+01
3.000000	-1.984330e+01
3.010000	-1.983260e+01
3.020000	-1.981940e+01
3.030000	-1.980370e+01
3.040000	-1.978530e+01
3.050000	-1.976450e+01
3.060000	-1.973840e+01
3.070000	-1.971110e+01
3.080000	-1.968260e+01
3.090000	-1.965290e+01
3.100000	-1.962210e+01
3.110000	-1.958860e+01
3.120000	-1.955460e+01
3.130000	-1.952010e+01
3.140000	-1.948510e+01
3.150000	-1.944970e+01
3.160000	-1.941220e+01
3.170000	-1.937500e+01
3.180000	-1.933810e+01
3.190000	-1.930130e+01
3.200000	-1.926480e+01
3.210000	-1.922760e+01
