# E(GeV)	Re_Tmatrix(GeV^-2)
2.260000	-3.233160e+00
2.270000	-3.215450e+00
2.280000	-3.198150e+00
2.290000	-3.181250e+00
2.300000	-3.164770e+00
2.310000	-3.148700e+00
2.320000	-3.133040e+00
2.330000	-3.117770e+00
2.340000	-3.102900e+00
2.350000	-3.088430e+00
2.360000	-3.074380e+00
2.370000	-3.060720e+00
2.380000	-3.047440e+00
2.390000	-3.034540e+00
2.400000	-3.022020e+00
2.410000	-3.009920e+00
2.420000	-2.998190e+00
2.430000	-2.986810e+00
2.440000	-2.975790e+00
2.450000	-2.965120e+00
2.460000	-2.954860e+00
2.470000	-2.944930e+00
2.480000	-2.935340e+00
2.490000	-2.926080e+00
2.500000	-2.917160e+00
2.510000	-2.908670e+00
2.520000	-2.900470e+00
2.530000	-2.892560e+00
2.540000	-2.884930e+00
2.550000	-2.877600e+00
2.560000	-2.870580e+00
2.570000	-2.863840e+00
2.580000	-2.857380e+00
2.590000	-2.851200e+00
2.600000	-2.845290e+00
2.610000	-2.839730e+00
2.620000	-2.834420e+00
2.630000	-2.829340e+00
2.640000	-2.824510e+00
2.650000	-2.819920e+00
2.660000	-2.815630e+00
2.670000	-2.811550e+00
2.680000	-2.807680e+00
2.690000	-2.804030e+00
2.700000	-2.800580e+00
2.710000	-2.797400e+00
2.720000	-2.794400e+00
2.730000	-2.791590e+00
2.740000	-2.788970e+00
2.750000	-2.786540e+00
2.760000	-2.784350e+00
2.770000	-2.782320e+00
2.780000	-2.780450e+00
2.790000	-2.778750e+00
2.800000	-2.777200e+00
2.810000	-2.775860e+00
2.820000	-2.774660e+00
2.830000	-2.773600e+00
2.840000	-2.772680e+00
2.850000	-2.771890e+00
2.860000	-2.771280e+00
2.870000	-2.770790e+00
2.880000	-2.770410e+00
2.890000	-2.770150e+00
2.900000	-2.770010e+00
2.910000	-2.770030e+00
2.920000	-2.770140e+00
2.930000	-2.770350e+00
2.940000	-2.770650e+00
2.950000	-2.771050e+00
2.960000	-2.771580e+00
2.970000	-2.772190e+00
2.980000	-2.772880e+00
2.990000	-2.773660e+00
3.000000	-2.774510e+00
3.010000	-2.775490e+00
3.020000	-2.776530e+00
3.030000	-2.777640e+00
3.040000	-2.778810e+00
3.050000	-2.780040e+00
3.060000	-2.781370e+00
3.070000	-2.782750e+00
3.080000	-2.784180e+00
3.090000	-2.785660e+00
3.100000	-2.787200e+00
3.110000	-2.788810e+00
3.120000	-2.790470e+00
3.130000	-2.792160e+00
3.140000	-2.793900e+00
3.150000	-2.795690e+00
3.160000	-2.797530e+00
3.170000	-2.799400e+00
3.180000	-2.801310e+00
3.190000	-2.803250e+00
3.200000	-2.805220e+00
3.210000	-2.807250e+00
3.220000	-2.809290e+00
3.230000	-2.811360e+00
3.240000	-2.813460e+00
3.250000	-2.815570e+00
3.260000	-2.817730e+00
3.270000	-2.819910e+00
3.280000	-2.822100e+00
3.290000	-2.824310e+00
3.300000	-2.826540e+00
3.310000	-2.828790e+00
3.320000	-2.831050e+00
3.330000	-2.833330e+00
3.340000	-2.835630e+00
3.350000	-2.837940e+00
3.360000	-2.840280e+00
3.370000	-2.842620e+00
3.380000	-2.844970e+00
3.390000	-2.847320e+00
3.400000	-2.849680e+00
3.410000	-2.852040e+00
3.420000	-2.854410e+00
3.430000	-2.856780e+00
3.440000	-2.859150e+00
3.450000	-2.861540e+00
3.460000	-2.863930e+00
3.470000	-2.866330e+00
3.480000	-2.868720e+00
3.490000	-2.871120e+00
3.500000	-2.873520e+00
3.510000	-2.875920e+00
3.520000	-2.878320e+00
3.530000	-2.880720e+00
3.540000	-2.883120e+00
3.550000	-2.885520e+00
3.560000	-2.887920e+00
3.570000	-2.890310e+00
3.580000	-2.892710e+00
3.590000	-2.895100e+00
3.600000	-2.897480e+00
3.610000	-2.899870e+00
3.620000	-2.902250e+00
3.630000	-2.904620e+00
3.640000	-2.906990e+00
3.650000	-2.909360e+00
3.660000	-2.911720e+00
3.670000	-2.914080e+00
3.680000	-2.916430e+00
3.690000	-2.918780e+00
3.700000	-2.921120e+00
3.710000	-2.923450e+00
3.720000	-2.925780e+00
3.730000	-2.928100e+00
3.740000	-2.930420e+00
3.750000	-2.932720e+00
3.760000	-2.935030e+00
3.770000	-2.937320e+00
3.780000	-2.939610e+00
3.790000	-2.941900e+00
3.800000	-2.944170e+00
3.810000	-2.946440e+00
3.820000	-2.948700e+00
3.830000	-2.950950e+00
3.840000	-2.953190e+00
3.850000	-2.955430e+00
3.860000	-2.957660e+00
3.870000	-2.959880e+00
3.880000	-2.962100e+00
3.890000	-2.964310e+00
3.900000	-2.966510e+00
3.910000	-2.968700e+00
3.920000	-2.970880e+00
3.930000	-2.973060e+00
3.940000	-2.975220e+00
3.950000	-2.977380e+00
3.960000	-2.979530e+00
3.970000	-2.981680e+00
3.980000	-2.983810e+00
3.990000	-2.985940e+00
4.000000	-2.988060e+00
4.010000	-2.990170e+00
4.020000	-2.992270e+00
4.030000	-2.994370e+00
4.040000	-2.996460e+00
4.050000	-2.998540e+00
4.060000	-3.000610e+00
4.070000	-3.002670e+00
4.080000	-3.004720e+00
4.090000	-3.006770e+00
4.100000	-3.008810e+00
4.110000	-3.010840e+00
4.120000	-3.012860e+00
4.130000	-3.014870e+00
4.140000	-3.016880e+00
4.150000	-3.018870e+00
4.160000	-3.020860e+00
4.170000	-3.022840e+00
4.180000	-3.024810e+00
4.190000	-3.026780e+00
4.200000	-3.028730e+00
4.210000	-3.030680e+00
4.220000	-3.032620e+00
4.230000	-3.034550e+00
4.240000	-3.036480e+00
4.250000	-3.038390e+00
4.260000	-3.040300e+00
4.270000	-3.042200e+00
4.280000	-3.044090e+00
4.290000	-3.045970e+00
4.300000	-3.047840e+00
4.310000	-3.049710e+00
4.320000	-3.051570e+00
4.330000	-3.053420e+00
4.340000	-3.055260e+00
4.350000	-3.057090e+00
4.360000	-3.058920e+00
4.370000	-3.060730e+00
4.380000	-3.062540e+00
4.390000	-3.064340e+00
4.400000	-3.066140e+00
4.410000	-3.067930e+00
4.420000	-3.069710e+00
4.430000	-3.071480e+00
4.440000	-3.073240e+00
4.450000	-3.074990e+00
4.460000	-3.076730e+00
4.470000	-3.078470e+00
4.480000	-3.080190e+00
4.490000	-3.081910e+00
4.500000	-3.083630e+00
4.510000	-3.085330e+00
4.520000	-3.087030e+00
4.530000	-3.088720e+00
4.540000	-3.090400e+00
4.550000	-3.092070e+00
4.560000	-3.093730e+00
4.570000	-3.095380e+00
4.580000	-3.097030e+00
4.590000	-3.098670e+00
4.600000	-3.100310e+00
4.610000	-3.101960e+00
4.620000	-3.103590e+00
4.630000	-3.105210e+00
4.640000	-3.106820e+00
4.650000	-3.108410e+00
4.660000	-3.109980e+00
4.670000	-3.111550e+00
4.680000	-3.113110e+00
4.690000	-3.114660e+00
4.700000	-3.116200e+00
4.710000	-3.117730e+00
4.720000	-3.119250e+00
4.730000	-3.120770e+00
4.740000	-3.122290e+00
4.750000	-3.123800e+00
4.760000	-3.125320e+00
4.770000	-3.126830e+00
4.780000	-3.128330e+00
4.790000	-3.129820e+00
4.800000	-3.131300e+00
4.810000	-3.132770e+00
4.820000	-3.134230e+00
4.830000	-3.135680e+00
4.840000	-3.137130e+00
4.850000	-3.138570e+00
4.860000	-3.140000e+00
4.870000	-3.141420e+00
4.880000	-3.142830e+00
4.890000	-3.144240e+00
4.900000	-3.145640e+00
4.910000	-3.147030e+00
4.920000	-3.148410e+00
4.930000	-3.149790e+00
4.940000	-3.151160e+00
4.950000	-3.152520e+00
4.960000	-3.153870e+00
4.970000	-3.155220e+00
4.980000	-3.156560e+00
4.990000	-3.157890e+00
5.000000	-3.159210e+00
5.010000	-3.160530e+00
5.020000	-3.161840e+00
5.030000	-3.163140e+00
5.040000	-3.164440e+00
5.050000	-3.165730e+00
5.060000	-3.167010e+00
5.070000	-3.168280e+00
5.080000	-3.169540e+00
5.090000	-3.170800e+00
5.100000	-3.172050e+00
5.110000	-3.173300e+00
5.120000	-3.174530e+00
5.130000	-3.175770e+00
5.140000	-3.176990e+00
5.150000	-3.178210e+00
5.160000	-3.179420e+00
5.170000	-3.180620e+00
5.180000	-3.181810e+00
5.190000	-3.183000e+00
5.200000	-3.184190e+00
5.210000	-3.185360e+00
5.220000	-3.186530e+00
5.230000	-3.187690e+00
5.240000	-3.188840e+00
5.250000	-3.189990e+00
5.260000	-3.191130e+00
5.270000	-3.192270e+00
5.280000	-3.193400e+00
5.290000	-3.194520e+00
5.300000	-3.195630e+00
5.310000	-3.196740e+00
5.320000	-3.197840e+00
5.330000	-3.198940e+00
5.340000	-3.200020e+00
5.350000	-3.201110e+00
5.360000	-3.202180e+00
5.370000	-3.203250e+00
5.380000	-3.204310e+00
5.390000	-3.205370e+00
5.400000	-3.206420e+00
5.410000	-3.207460e+00
5.420000	-3.208490e+00
5.430000	-3.209530e+00
5.440000	-3.210550e+00
5.450000	-3.211570e+00
5.460000	-3.212590e+00
5.470000	-3.213600e+00
5.480000	-3.214600e+00
5.490000	-3.215600e+00
5.500000	-3.216590e+00
5.510000	-3.217580e+00
5.520000	-3.218560e+00
5.530000	-3.219530e+00
5.540000	-3.220500e+00
5.550000	-3.221470e+00
5.560000	-3.222420e+00
5.570000	-3.223370e+00
5.580000	-3.224320e+00
5.590000	-3.225250e+00
5.600000	-3.226190e+00
5.610000	-3.227110e+00
5.620000	-3.228030e+00
5.630000	-3.228950e+00
5.640000	-3.229860e+00
5.650000	-3.230760e+00
5.660000	-3.231660e+00
5.670000	-3.232560e+00
5.680000	-3.233450e+00
5.690000	-3.234330e+00
5.700000	-3.235210e+00
5.710000	-3.236080e+00
5.720000	-3.236950e+00
5.730000	-3.237810e+00
5.740000	-3.238670e+00
5.750000	-3.239520e+00
5.760000	-3.240360e+00
5.770000	-3.241210e+00
5.780000	-3.242040e+00
5.790000	-3.242870e+00
5.800000	-3.243700e+00
5.810000	-3.244520e+00
5.820000	-3.245340e+00
5.830000	-3.246150e+00
5.840000	-3.246960e+00
5.850000	-3.247760e+00
5.860000	-3.248560e+00
5.870000	-3.249350e+00
5.880000	-3.250140e+00
5.890000	-3.250920e+00
5.900000	-3.251700e+00
5.910000	-3.252470e+00
5.920000	-3.253240e+00
5.930000	-3.254010e+00
5.940000	-3.254770e+00
5.950000	-3.255530e+00
5.960000	-3.256280e+00
5.970000	-3.257020e+00
5.980000	-3.257770e+00
5.990000	-3.258500e+00
6.000000	-3.259240e+00
6.010000	-3.259970e+00
6.020000	-3.260690e+00
6.030000	-3.261410e+00
6.040000	-3.262130e+00
6.050000	-3.262840e+00
6.060000	-3.263550e+00
6.070000	-3.264260e+00
6.080000	-3.264960e+00
6.090000	-3.265650e+00
6.100000	-3.266340e+00
6.110000	-3.267030e+00
6.120000	-3.267720e+00
6.130000	-3.268400e+00
6.140000	-3.269070e+00
6.150000	-3.269740e+00
6.160000	-3.270410e+00
6.170000	-3.271080e+00
6.180000	-3.271740e+00
6.190000	-3.272390e+00
6.200000	-3.273050e+00
6.210000	-3.273700e+00
6.220000	-3.274340e+00
6.230000	-3.274980e+00
6.240000	-3.275620e+00
6.250000	-3.276260e+00
6.260000	-3.276890e+00
6.270000	-3.277510e+00
6.280000	-3.278140e+00
6.290000	-3.278760e+00
6.300000	-3.279370e+00
6.310000	-3.279990e+00
6.320000	-3.280600e+00
6.330000	-3.281200e+00
6.340000	-3.281810e+00
6.350000	-3.282410e+00
6.360000	-3.283000e+00
6.370000	-3.283590e+00
6.380000	-3.284180e+00
6.390000	-3.284770e+00
6.400000	-3.285350e+00
6.410000	-3.285930e+00
6.420000	-3.286510e+00
6.430000	-3.287080e+00
6.440000	-3.287650e+00
6.450000	-3.288220e+00
6.460000	-3.288790e+00
6.470000	-3.289350e+00
6.480000	-3.289910e+00
6.490000	-3.290470e+00
6.500000	-3.291020e+00
6.510000	-3.291560e+00
6.520000	-3.292110e+00
6.530000	-3.292650e+00
6.540000	-3.293190e+00
6.550000	-3.293720e+00
6.560000	-3.294260e+00
6.570000	-3.294790e+00
6.580000	-3.295320e+00
6.590000	-3.295840e+00
6.600000	-3.296360e+00
6.610000	-3.296880e+00
6.620000	-3.297400e+00
6.630000	-3.297920e+00
6.640000	-3.298430e+00
6.650000	-3.298940e+00
6.660000	-3.299440e+00
6.670000	-3.299950e+00
6.680000	-3.300450e+00
6.690000	-3.300940e+00
6.700000	-3.301440e+00
6.710000	-3.301930e+00
6.720000	-3.302420e+00
6.730000	-3.302910e+00
6.740000	-3.303400e+00
6.750000	-3.303880e+00
6.760000	-3.304360e+00
6.770000	-3.304840e+00
6.780000	-3.305310e+00
6.790000	-3.305790e+00
6.800000	-3.306260e+00
6.810000	-3.306730e+00
6.820000	-3.307190e+00
6.830000	-3.307650e+00
6.840000	-3.308120e+00
6.850000	-3.308580e+00
6.860000	-3.309040e+00
6.870000	-3.309500e+00
6.880000	-3.309950e+00
6.890000	-3.310400e+00
6.900000	-3.310850e+00
6.910000	-3.311290e+00
6.920000	-3.311730e+00
6.930000	-3.312170e+00
6.940000	-3.312610e+00
6.950000	-3.313040e+00
6.960000	-3.313470e+00
6.970000	-3.313910e+00
6.980000	-3.314340e+00
6.990000	-3.314760e+00
7.000000	-3.315190e+00
7.010000	-3.315610e+00
7.020000	-3.316040e+00
7.030000	-3.316460e+00
7.040000	-3.316870e+00
7.050000	-3.317290e+00
7.060000	-3.317700e+00
7.070000	-3.318120e+00
7.080000	-3.318530e+00
7.090000	-3.318930e+00
7.100000	-3.319340e+00
7.110000	-3.319740e+00
7.120000	-3.320150e+00
7.130000	-3.320550e+00
7.140000	-3.320940e+00
7.150000	-3.321340e+00
7.160000	-3.321730e+00
7.170000	-3.322130e+00
7.180000	-3.322520e+00
7.190000	-3.322900e+00
7.200000	-3.323290e+00
7.210000	-3.323680e+00
7.220000	-3.324060e+00
7.230000	-3.324440e+00
7.240000	-3.324820e+00
7.250000	-3.325200e+00
7.260000	-3.325580e+00
7.270000	-3.325950e+00
7.280000	-3.326330e+00
7.290000	-3.326700e+00
7.300000	-3.327070e+00
7.310000	-3.327440e+00
7.320000	-3.327800e+00
7.330000	-3.328170e+00
7.340000	-3.328530e+00
7.350000	-3.328890e+00
7.360000	-3.329250e+00
7.370000	-3.329610e+00
7.380000	-3.329960e+00
7.390000	-3.330320e+00
7.400000	-3.330670e+00
7.410000	-3.331030e+00
7.420000	-3.331380e+00
7.430000	-3.331730e+00
7.440000	-3.332080e+00
7.450000	-3.332420e+00
7.460000	-3.332760e+00
7.470000	-3.333100e+00
7.480000	-3.333440e+00
7.490000	-3.333780e+00
7.500000	-3.334120e+00
7.510000	-3.334450e+00
7.520000	-3.334790e+00
7.530000	-3.335120e+00
7.540000	-3.335450e+00
7.550000	-3.335780e+00
7.560000	-3.336110e+00
7.570000	-3.336440e+00
7.580000	-3.336770e+00
7.590000	-3.337090e+00
7.600000	-3.337420e+00
7.610000	-3.337740e+00
7.620000	-3.338060e+00
7.630000	-3.338380e+00
7.640000	-3.338700e+00
7.650000	-3.339010e+00
7.660000	-3.339330e+00
7.670000	-3.339640e+00
7.680000	-3.339960e+00
7.690000	-3.340270e+00
7.700000	-3.340580e+00
7.710000	-3.340890e+00
7.720000	-3.341190e+00
7.730000	-3.341500e+00
7.740000	-3.341800e+00
7.750000	-3.342110e+00
7.760000	-3.342410e+00
7.770000	-3.342710e+00
7.780000	-3.343010e+00
7.790000	-3.343310e+00
7.800000	-3.343610e+00
7.810000	-3.343900e+00
7.820000	-3.344200e+00
7.830000	-3.344490e+00
7.840000	-3.344780e+00
7.850000	-3.345070e+00
7.860000	-3.345360e+00
7.870000	-3.345650e+00
7.880000	-3.345940e+00
7.890000	-3.346230e+00
7.900000	-3.346510e+00
7.910000	-3.346800e+00
7.920000	-3.347080e+00
7.930000	-3.347360e+00
7.940000	-3.347640e+00
7.950000	-3.347920e+00
7.960000	-3.348200e+00
7.970000	-3.348480e+00
7.980000	-3.348760e+00
7.990000	-3.349030e+00
8.000000	-3.349310e+00
