# T(MeV)	Gamma(MeV)
170.0	2.693149e+01
175.0	4.084118e+01
180.0	6.076430e+01
185.0	8.484804e+01
190.0	1.030724e+02
195.0	1.089892e+02
200.0	1.117646e+02
205.0	1.145371e+02
210.0	1.173067e+02
215.0	1.200733e+02
220.0	1.228288e+02
225.0	1.255789e+02
230.0	1.283260e+02
235.0	1.310697e+02
240.0	1.338103e+02
245.0	1.365410e+02
250.0	1.392580e+02
255.0	1.419712e+02
260.0	1.446810e+02
265.0	1.473872e+02
270.0	1.500900e+02
275.0	1.527817e+02
280.0	1.554696e+02
285.0	1.581540e+02
290.0	1.608346e+02
295.0	1.635116e+02
300.0	1.661850e+02
305.0	1.688550e+02
310.0	1.715213e+02
315.0	1.741842e+02
320.0	1.768359e+02
325.0	1.794839e+02
330.0	1.821283e+02
335.0	1.847693e+02
340.0	1.874067e+02
345.0	1.900406e+02
350.0	1.926711e+02
355.0	1.952981e+02
360.0	1.979220e+02
365.0	2.005342e+02
370.0	2.031430e+02
375.0	2.057483e+02
380.0	2.083502e+02
385.0	2.109486e+02
390.0	2.135436e+02
395.0	2.161351e+02
400.0	2.187233e+02
405.0	2.213082e+02
410.0	2.238897e+02
415.0	2.264680e+02
420.0	2.290430e+02
425.0	2.316147e+02
430.0	2.341832e+02
435.0	2.367483e+02
440.0	2.393106e+02
445.0	2.418695e+02
450.0	2.444253e+02
455.0	2.469781e+02
460.0	2.495275e+02
465.0	2.520741e+02
470.0	2.546176e+02
475.0	2.571580e+02
480.0	2.596953e+02
485.0	2.622297e+02
490.0	2.647610e+02
495.0	2.672896e+02
500.0	2.698150e+02
505.0	2.723376e+02
510.0	2.748573e+02
515.0	2.773739e+02
520.0	2.798879e+02
525.0	2.823990e+02
530.0	2.849073e+02
535.0	2.874127e+02
540.0	2.899153e+02
545.0	2.924107e+02
550.0	2.949036e+02
555.0	2.973937e+02
560.0	2.998808e+02
565.0	3.023652e+02
570.0	3.048467e+02
575.0	3.073256e+02
580.0	3.098018e+02
585.0	3.122752e+02
590.0	3.147460e+02
595.0	3.172141e+02
600.0	3.196796e+02
605.0	3.221423e+02
610.0	3.246025e+02
615.0	3.270600e+02
620.0	3.295148e+02
625.0	3.319674e+02
630.0	3.344170e+02
635.0	3.368643e+02
640.0	3.393089e+02
645.0	3.417511e+02
650.0	3.441908e+02
655.0	3.466278e+02
660.0	3.490625e+02
665.0	3.514946e+02
670.0	3.539244e+02
675.0	3.563514e+02
680.0	3.587764e+02
685.0	3.611986e+02
690.0	3.636186e+02
695.0	3.660362e+02
700.0	3.684513e+02
705.0	3.708641e+02
710.0	3.732744e+02
715.0	3.756825e+02
720.0	3.780884e+02
