# T(MeV)	Gamma(MeV)
170.0	1.536731e+01
175.0	2.666485e+01
180.0	4.493474e+01
185.0	6.945814e+01
190.0	9.181741e+01
195.0	9.900698e+01
200.0	1.014393e+02
205.0	1.038645e+02
210.0	1.062825e+02
215.0	1.086932e+02
220.0	1.111009e+02
225.0	1.135030e+02
230.0	1.158985e+02
235.0	1.182873e+02
240.0	1.206696e+02
245.0	1.230489e+02
250.0	1.254285e+02
255.0	1.278021e+02
260.0	1.301698e+02
265.0	1.325321e+02
270.0	1.348884e+02
275.0	1.372439e+02
280.0	1.395941e+02
285.0	1.419390e+02
290.0	1.442786e+02
295.0	1.466131e+02
300.0	1.489423e+02
305.0	1.512662e+02
310.0	1.535850e+02
315.0	1.558986e+02
320.0	1.582130e+02
325.0	1.605226e+02
330.0	1.628275e+02
335.0	1.651277e+02
340.0	1.674232e+02
345.0	1.697139e+02
350.0	1.719999e+02
355.0	1.742815e+02
360.0	1.765588e+02
365.0	1.788378e+02
370.0	1.811127e+02
375.0	1.833836e+02
380.0	1.856500e+02
385.0	1.879125e+02
390.0	1.901709e+02
395.0	1.924251e+02
400.0	1.946753e+02
405.0	1.969216e+02
410.0	1.991639e+02
415.0	2.014018e+02
420.0	2.036363e+02
425.0	2.058666e+02
430.0	2.080929e+02
435.0	2.103156e+02
440.0	2.125342e+02
445.0	2.147491e+02
450.0	2.169601e+02
455.0	2.191674e+02
460.0	2.213708e+02
465.0	2.235705e+02
470.0	2.257665e+02
475.0	2.279589e+02
480.0	2.301473e+02
485.0	2.323326e+02
490.0	2.345136e+02
495.0	2.366915e+02
500.0	2.388654e+02
505.0	2.410359e+02
510.0	2.432030e+02
515.0	2.453665e+02
520.0	2.475262e+02
525.0	2.496827e+02
530.0	2.518356e+02
535.0	2.539851e+02
540.0	2.561311e+02
545.0	2.582788e+02
550.0	2.604233e+02
555.0	2.625646e+02
560.0	2.647027e+02
565.0	2.668376e+02
570.0	2.689690e+02
575.0	2.710977e+02
580.0	2.732231e+02
585.0	2.753454e+02
590.0	2.774644e+02
595.0	2.795804e+02
600.0	2.816934e+02
605.0	2.838034e+02
610.0	2.859101e+02
615.0	2.880141e+02
620.0	2.901148e+02
625.0	2.922128e+02
630.0	2.943075e+02
635.0	2.963996e+02
640.0	2.984885e+02
645.0	3.005746e+02
650.0	3.026579e+02
655.0	3.047380e+02
660.0	3.068156e+02
665.0	3.088901e+02
670.0	3.109617e+02
675.0	3.130307e+02
680.0	3.150967e+02
685.0	3.171601e+02
690.0	3.192205e+02
695.0	3.212782e+02
700.0	3.233332e+02
705.0	3.253855e+02
710.0	3.274350e+02
715.0	3.294817e+02
720.0	3.315261e+02
