# P(GeV)	Gamma(GeV)
0.100000	1.821700e-02
0.600000	1.847200e-02
1.100000	1.897600e-02
1.600000	1.976100e-02
2.100000	2.096300e-02
2.600000	2.225300e-02
3.100000	2.404500e-02
3.600000	2.574900e-02
4.100000	2.789500e-02
4.600000	2.994000e-02
5.100000	3.223900e-02
5.600000	3.462100e-02
6.100000	3.707600e-02
6.600000	3.944200e-02
7.100000	4.183200e-02
7.600000	4.447100e-02
8.100000	4.617100e-02
8.600000	4.885300e-02
9.100000	5.109100e-02
9.600000	5.311300e-02
10.000000	5.462800e-02
11.000000	5.804900e-02
12.000000	6.106100e-02
13.000000	6.348400e-02
14.000000	6.554000e-02
15.000000	6.675200e-02
16.000000	6.780900e-02
17.000000	6.842700e-02
18.000000	6.867200e-02
19.000000	6.870600e-02
20.000000	6.881900e-02
21.000000	6.868200e-02
22.000000	6.803200e-02
23.000000	6.755900e-02
24.000000	6.683000e-02
25.000000	6.611300e-02
26.000000	6.513000e-02
27.000000	6.417100e-02
28.000000	6.299000e-02
29.000000	6.236400e-02
30.000000	6.142200e-02
31.000000	6.051500e-02
32.000000	5.925800e-02
33.000000	5.839000e-02
34.000000	5.767500e-02
35.000000	5.666600e-02
36.000000	5.564000e-02
37.000000	5.471300e-02
38.000000	5.400000e-02
39.000000	5.290500e-02
40.000000	5.201700e-02
