1.1000	0.0018	0.0045	0.0057	0.0071	0.0555	0.1232	0.1807	0.2573	0.3696	0.4689	0.4616	0.4385
1.1500	0.0017	0.0040	0.0052	0.0064	0.0475	0.1058	0.1574	0.2265	0.3022	0.4043	0.4166	0.4080
1.2000	0.0015	0.0037	0.0048	0.0059	0.0408	0.0913	0.1377	0.2001	0.2491	0.3483	0.3748	0.3782
1.2500	0.0014	0.0033	0.0044	0.0054	0.0352	0.0791	0.1209	0.1772	0.2068	0.3001	0.3363	0.3495
1.3000	0.0012	0.0030	0.0040	0.0049	0.0305	0.0688	0.1064	0.1574	0.1727	0.2586	0.3011	0.3219
1.3500	0.0011	0.0027	0.0036	0.0045	0.0264	0.0600	0.0940	0.1402	0.1448	0.2229	0.2691	0.2957
1.4000	0.0010	0.0025	0.0033	0.0041	0.0230	0.0524	0.0832	0.1251	0.1219	0.1922	0.2402	0.2709
1.4500	0.0009	0.0022	0.0030	0.0038	0.0200	0.0459	0.0738	0.1118	0.1029	0.1658	0.2141	0.2477
1.5000	0.0008	0.0020	0.0028	0.0035	0.0174	0.0402	0.0656	0.1002	0.0870	0.1431	0.1906	0.2261
1.5500	0.0007	0.0018	0.0026	0.0032	0.0152	0.0353	0.0584	0.0899	0.0738	0.1236	0.1696	0.2059
1.6000	0.0007	0.0017	0.0023	0.0030	0.0132	0.0311	0.0521	0.0807	0.0626	0.1068	0.1507	0.1873
1.6500	0.0006	0.0015	0.0021	0.0027	0.0115	0.0273	0.0465	0.0726	0.0532	0.0923	0.1340	0.1701
1.7000	0.0005	0.0014	0.0020	0.0025	0.0100	0.0240	0.0415	0.0654	0.0452	0.0799	0.1190	0.1543
1.7500	0.0005	0.0012	0.0018	0.0023	0.0087	0.0212	0.0371	0.0590	0.0384	0.0691	0.1057	0.1399
1.8000	0.0004	0.0011	0.0016	0.0021	0.0076	0.0187	0.0332	0.0533	0.0327	0.0599	0.0938	0.1267
1.8500	0.0004	0.0010	0.0015	0.0020	0.0066	0.0165	0.0298	0.0481	0.0278	0.0519	0.0833	0.1146
1.9000	0.0003	0.0009	0.0014	0.0018	0.0057	0.0145	0.0267	0.0435	0.0237	0.0450	0.0740	0.1037
1.9500	0.0003	0.0008	0.0013	0.0017	0.0050	0.0128	0.0239	0.0394	0.0201	0.0391	0.0657	0.0937
2.0000	0.0003	0.0007	0.0012	0.0016	0.0043	0.0113	0.0215	0.0357	0.0171	0.0339	0.0584	0.0847
2.0500	0.0002	0.0007	0.0011	0.0014	0.0037	0.0100	0.0193	0.0323	0.0146	0.0295	0.0519	0.0766
2.1000	0.0002	0.0006	0.0010	0.0013	0.0032	0.0088	0.0173	0.0293	0.0124	0.0256	0.0461	0.0692
2.1500	0.0002	0.0005	0.0009	0.0012	0.0028	0.0078	0.0156	0.0266	0.0105	0.0223	0.0410	0.0625
2.2000	0.0002	0.0005	0.0008	0.0011	0.0024	0.0068	0.0140	0.0242	0.0090	0.0194	0.0365	0.0565
2.2500	0.0001	0.0004	0.0007	0.0011	0.0021	0.0060	0.0126	0.0219	0.0076	0.0169	0.0325	0.0510
2.3000	0.0001	0.0004	0.0007	0.0010	0.0018	0.0053	0.0113	0.0199	0.0065	0.0147	0.0289	0.0461
2.3500	0.0001	0.0003	0.0006	0.0009	0.0015	0.0047	0.0102	0.0181	0.0055	0.0128	0.0257	0.0417
2.4000	0.0001	0.0003	0.0006	0.0008	0.0013	0.0041	0.0091	0.0165	0.0047	0.0112	0.0229	0.0377
2.4500	0.0001	0.0003	0.0005	0.0008	0.0011	0.0037	0.0082	0.0150	0.0040	0.0097	0.0204	0.0341
2.5000	0.0001	0.0002	0.0005	0.0007	0.0010	0.0032	0.0074	0.0137	0.0034	0.0085	0.0182	0.0308
2.5500	0.0001	0.0002	0.0004	0.0007	0.0008	0.0028	0.0067	0.0124	0.0029	0.0074	0.0162	0.0279
2.6000	0.0001	0.0002	0.0004	0.0006	0.0007	0.0025	0.0060	0.0113	0.0024	0.0065	0.0145	0.0252
2.6500	0.0000	0.0002	0.0004	0.0006	0.0006	0.0022	0.0054	0.0103	0.0020	0.0057	0.0129	0.0228
2.7000	0.0000	0.0002	0.0003	0.0005	0.0005	0.0019	0.0048	0.0094	0.0017	0.0049	0.0115	0.0207
2.7500	0.0000	0.0001	0.0003	0.0005	0.0004	0.0017	0.0044	0.0086	0.0015	0.0043	0.0103	0.0187
2.8000	0.0000	0.0001	0.0003	0.0004	0.0004	0.0015	0.0039	0.0078	0.0012	0.0038	0.0092	0.0170
2.8500	0.0000	0.0001	0.0002	0.0004	0.0003	0.0013	0.0035	0.0071	0.0010	0.0033	0.0082	0.0154
2.9000	0.0000	0.0001	0.0002	0.0004	0.0003	0.0012	0.0032	0.0065	0.0009	0.0029	0.0073	0.0139
2.9500	0.0000	0.0001	0.0002	0.0003	0.0002	0.0010	0.0029	0.0059	0.0007	0.0025	0.0065	0.0126
3.0000	0.0000	0.0001	0.0002	0.0003	0.0002	0.0009	0.0026	0.0054	0.0006	0.0022	0.0058	0.0114
