3.050	1.962	0.879	0.900	0.937	0.881	0.644	0.626	0.498	0.739	0.589	0.505	0.379	0.586	0.501	0.408	0.295
3.100	1.771	0.810	0.802	0.936	0.810	0.587	0.585	0.497	0.685	0.544	0.478	0.378	0.547	0.469	0.391	0.294
3.150	1.591	0.745	0.712	0.929	0.745	0.537	0.544	0.494	0.635	0.503	0.452	0.376	0.510	0.440	0.374	0.292
3.200	1.423	0.683	0.631	0.915	0.685	0.491	0.505	0.489	0.589	0.466	0.426	0.372	0.476	0.412	0.358	0.289
3.250	1.268	0.625	0.559	0.896	0.630	0.449	0.468	0.482	0.547	0.431	0.401	0.367	0.445	0.385	0.341	0.286
3.300	1.126	0.571	0.495	0.870	0.578	0.411	0.432	0.473	0.508	0.400	0.377	0.361	0.416	0.361	0.325	0.282
3.350	0.997	0.519	0.438	0.840	0.530	0.377	0.398	0.462	0.472	0.370	0.353	0.354	0.388	0.338	0.309	0.278
3.400	0.880	0.470	0.390	0.804	0.486	0.345	0.367	0.450	0.438	0.343	0.331	0.346	0.363	0.316	0.293	0.273
3.450	0.775	0.425	0.347	0.764	0.444	0.317	0.337	0.436	0.407	0.318	0.309	0.338	0.340	0.296	0.278	0.267
3.500	0.681	0.383	0.311	0.721	0.406	0.290	0.309	0.422	0.378	0.295	0.289	0.328	0.318	0.277	0.264	0.261
3.550	0.597	0.344	0.279	0.675	0.370	0.266	0.284	0.406	0.351	0.274	0.270	0.318	0.297	0.259	0.249	0.255
3.600	0.523	0.308	0.251	0.627	0.337	0.244	0.260	0.389	0.326	0.254	0.252	0.307	0.278	0.242	0.236	0.248
3.650	0.457	0.275	0.227	0.579	0.306	0.223	0.238	0.371	0.302	0.236	0.234	0.296	0.260	0.227	0.223	0.241
3.700	0.399	0.245	0.206	0.531	0.278	0.204	0.218	0.353	0.280	0.219	0.218	0.285	0.244	0.212	0.210	0.233
3.750	0.347	0.218	0.188	0.484	0.252	0.187	0.200	0.335	0.259	0.203	0.203	0.273	0.228	0.199	0.198	0.226
3.800	0.303	0.194	0.171	0.439	0.228	0.171	0.183	0.317	0.240	0.188	0.189	0.261	0.214	0.186	0.187	0.218
3.850	0.263	0.172	0.156	0.396	0.207	0.156	0.168	0.298	0.222	0.175	0.176	0.249	0.200	0.174	0.176	0.210
3.900	0.229	0.152	0.143	0.355	0.187	0.143	0.154	0.280	0.205	0.162	0.163	0.237	0.187	0.163	0.166	0.202
3.950	0.199	0.135	0.131	0.318	0.168	0.130	0.141	0.263	0.189	0.150	0.152	0.225	0.175	0.153	0.156	0.194
4.000	0.173	0.119	0.119	0.283	0.152	0.119	0.129	0.245	0.174	0.139	0.141	0.214	0.164	0.143	0.147	0.186
4.050	0.150	0.105	0.109	0.252	0.137	0.108	0.118	0.229	0.161	0.129	0.131	0.202	0.153	0.134	0.138	0.178
4.100	0.131	0.093	0.099	0.224	0.123	0.099	0.109	0.213	0.148	0.120	0.122	0.191	0.143	0.126	0.130	0.170
4.150	0.114	0.082	0.090	0.199	0.111	0.090	0.100	0.198	0.136	0.111	0.114	0.180	0.134	0.118	0.122	0.163
4.200	0.099	0.073	0.082	0.177	0.100	0.082	0.092	0.183	0.125	0.103	0.106	0.169	0.125	0.110	0.115	0.155
4.250	0.086	0.064	0.075	0.158	0.090	0.074	0.084	0.169	0.115	0.095	0.098	0.159	0.117	0.103	0.108	0.148
4.300	0.075	0.057	0.068	0.141	0.081	0.068	0.078	0.156	0.106	0.088	0.092	0.150	0.109	0.097	0.101	0.140
4.350	0.065	0.051	0.062	0.126	0.073	0.062	0.072	0.144	0.097	0.081	0.085	0.140	0.102	0.091	0.095	0.133
4.400	0.057	0.045	0.056	0.113	0.065	0.056	0.066	0.133	0.089	0.075	0.079	0.132	0.095	0.085	0.089	0.127
4.450	0.050	0.040	0.051	0.102	0.059	0.051	0.061	0.123	0.082	0.070	0.074	0.123	0.089	0.079	0.084	0.120
4.500	0.043	0.035	0.046	0.092	0.053	0.047	0.056	0.113	0.075	0.064	0.069	0.115	0.083	0.074	0.079	0.114
4.550	0.038	0.032	0.042	0.083	0.048	0.042	0.052	0.104	0.069	0.059	0.064	0.108	0.077	0.070	0.074	0.108
4.600	0.033	0.028	0.038	0.076	0.043	0.039	0.048	0.096	0.063	0.055	0.060	0.101	0.072	0.065	0.070	0.102
4.650	0.029	0.025	0.034	0.069	0.039	0.035	0.044	0.088	0.058	0.051	0.056	0.094	0.067	0.061	0.066	0.097
4.700	0.026	0.023	0.031	0.063	0.035	0.032	0.041	0.081	0.053	0.047	0.052	0.088	0.063	0.057	0.062	0.091
4.750	0.023	0.021	0.028	0.057	0.032	0.030	0.038	0.075	0.049	0.044	0.049	0.082	0.058	0.054	0.058	0.086
4.800	0.020	0.019	0.026	0.052	0.029	0.027	0.035	0.069	0.045	0.040	0.045	0.077	0.054	0.050	0.055	0.081
4.850	0.018	0.017	0.024	0.048	0.026	0.025	0.032	0.063	0.041	0.037	0.042	0.072	0.051	0.047	0.052	0.077
4.900	0.016	0.015	0.022	0.044	0.024	0.023	0.030	0.058	0.038	0.035	0.040	0.067	0.047	0.044	0.049	0.073
4.950	0.014	0.014	0.020	0.040	0.021	0.021	0.028	0.054	0.035	0.032	0.037	0.062	0.044	0.041	0.046	0.069
5.000	0.013	0.013	0.018	0.037	0.020	0.019	0.026	0.050	0.032	0.030	0.035	0.058	0.041	0.039	0.043	0.065
