0.0500	-1.3650	-1.3830	-1.3940	-1.4000
0.1000	-0.5968	-0.6241	-0.6388	-0.6408
0.1500	-0.2984	-0.3270	-0.3404	-0.3322
0.2000	-0.1160	-0.1404	-0.1494	-0.1278
0.2500	0.0203	0.0034	0.0004	0.0353
0.3000	0.1329	0.1250	0.1280	0.1739
0.3500	0.2310	0.2320	0.2398	0.2928
0.4000	0.3189	0.3273	0.3380	0.3935
0.4500	0.3987	0.4120	0.4234	0.4767
0.5000	0.4713	0.4866	0.4965	0.5437
0.5500	0.5374	0.5516	0.5578	0.5959
0.6000	0.5974	0.6074	0.6081	0.6354
0.6500	0.6515	0.6545	0.6486	0.6645
0.7000	0.7001	0.6937	0.6805	0.6852
0.7500	0.7434	0.7258	0.7051	0.6996
0.8000	0.7817	0.7516	0.7237	0.7092
0.8500	0.8153	0.7721	0.7374	0.7155
0.9000	0.8446	0.7881	0.7473	0.7195
0.9500	0.8699	0.8004	0.7543	0.7219
1.0000	0.8916	0.8096	0.7592	0.7234
1.0500	0.9101	0.8165	0.7625	0.7243
1.1000	0.9256	0.8216	0.7647	0.7248
1.1500	0.9387	0.8252	0.7662	0.7250
1.2000	0.9496	0.8278	0.7671	0.7252
1.2500	0.9585	0.8296	0.7677	0.7253
1.3000	0.9659	0.8309	0.7680	0.7253
1.3500	0.9718	0.8317	0.7683	0.7254
1.4000	0.9767	0.8323	0.7684	0.7254
1.4500	0.9806	0.8327	0.7685	0.7254
1.5000	0.9837	0.8329	0.7685	0.7254
